"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
0, 1.000000000000000e+00, 5.551115000000000e-17, 9.997893077447362e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.642951114996600e+00, 1.000000000000000e-10, 7.542104828047700e+05, 1.057180445958648e+00, 1.057403232630455e+00, 0.000000000000000e+00, 2.689020512973276e-01, 9.877662699390232e-08, 1.356225806785360e-07, -4.642374601279916e-04, -3.407074606317806e+01, 1.031436965731035e+00, 1.325610904273821e-16
1, 5.000000000000000e-01, 8.508461000000000e-02, 7.896165452169895e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.074137905084253e+00, 1.000000000000000e-10, 9.463737323092424e+05, 8.296551620021165e-01, 1.050706405568192e+00, 0.000000000000000e+00, -8.010793829531871e-01, 9.829671051098344e-08, 3.275482946338468e-03, -3.530301832756064e-04, -1.850077960901822e+02, 2.453795755178430e+00, 8.343601343012553e-17
2, 0.000000000000000e+00, 0.000000000000000e+00, 1.019848949353163e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.693969676715736e+00, 1.000000000000000e-10, 7.303625696504428e+05, 1.077587870645500e+00, 1.056615169657191e+00, 0.000000000000000e+00, 3.648718932247379e-01, 9.872022907478782e-08, -2.129787289808899e-12, 4.908981602638340e-03, -6.725050024557426e+02, 3.400263445126693e+00, 1.396359676285176e-16
3, 5.000000000000000e-01, -8.508461000000000e-02, 8.912763248400100e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.347397953126966e+00, 1.000000000000000e-10, 8.400993993685169e+05, 9.389591812151352e-01, 1.053499520907486e+00, 0.000000000000000e+00, -2.870561974278572e-01, 9.849705536186366e-08, 3.353212803549814e-03, 3.614078899416947e-04, -2.033605829834744e+02, 2.632358892539350e+00, 1.060916895950607e-16
12, 9.953302609081321e-01, 3.928080762356919e-04, 9.972524601818942e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.636177646129685e+00, 1.000000000000000e-10, 7.534058462979241e+05, 1.054471058411984e+00, 1.057376241738881e+00, 0.000000000000000e+00, 2.561606349469834e-01, 9.877469572406326e-08, 7.803257837110841e-04, -6.792240633691140e-05, -1.928367621699952e+01, 1.338099879154337e+00, 1.323660739453662e-16
13, 9.900902163816916e-01, 8.625837614035186e-04, 9.963927999419117e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.633762744916377e+00, 1.000000000000000e-10, 7.540093112833599e+05, 1.053505097926695e+00, 1.057319059298816e+00, 0.000000000000000e+00, 2.516180198691971e-01, 9.877060408927551e-08, 8.404759694487648e-04, -7.791160912290703e-05, -1.219725059621306e+01, 1.388524770785804e+00, 1.321461891534789e-16
14, 9.844794051378548e-01, 1.398675779957617e-03, 9.953028775729985e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.630698858446388e+00, 1.000000000000000e-10, 7.547988727136469e+05, 1.052279543338743e+00, 1.057245555146670e+00, 0.000000000000000e+00, 2.458546135656607e-01, 9.876534441107908e-08, 8.696003960094356e-04, -8.580257483884001e-05, -8.522519789205871e+00, 1.412080104536475e+00, 1.318635943377418e-16
15, 9.785568911191920e-01, 2.000565078474549e-03, 9.941738788221347e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.627547242303685e+00, 1.000000000000000e-10, 7.556227527500375e+05, 1.051018896881706e+00, 1.057178144860254e+00, 0.000000000000000e+00, 2.399261809944456e-01, 9.876052062962950e-08, 8.799337735052711e-04, -9.220939326968769e-05, -6.119939748353189e+00, 1.420146477540948e+00, 1.315704227156323e-16
16, 9.723566778924241e-01, 2.669031979177175e-03, 9.929557074808437e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.624191503439584e+00, 1.000000000000000e-10, 7.565222538856795e+05, 1.049676601336115e+00, 1.057123286998545e+00, 0.000000000000000e+00, 2.336137778712196e-01, 9.875659497034322e-08, 8.826176447704581e-04, -9.796607843128456e-05, -4.589145766579008e+00, 1.421965877551124e+00, 1.312529692575734e-16
17, 9.659016001617013e-01, 3.405238136913897e-03, 9.916933100247260e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.620743053604925e+00, 1.000000000000000e-10, 7.574619642166686e+05, 1.048297221402302e+00, 1.057078040968296e+00, 0.000000000000000e+00, 2.271269782756219e-01, 9.875335706414911e-08, 8.824635661019393e-04, -1.034494574460081e-04, -3.708179826552452e+00, 1.421483154033317e+00, 1.309234756677730e-16
18, 9.592083492771265e-01, 4.210384522016559e-03, 9.903234545250452e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.617024034423234e+00, 1.000000000000000e-10, 7.584888234548747e+05, 1.046809613729680e+00, 1.057038090884888e+00, 0.000000000000000e+00, 2.201312169102256e-01, 9.875049809132499e-08, 8.809150472675630e-04, -1.087483467454932e-04, -3.207778901188977e+00, 1.419818971689859e+00, 1.305656244881599e-16
19, 9.522897741777424e-01, 5.085608538730054e-03, 9.889284976674367e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.613247404045547e+00, 1.000000000000000e-10, 7.595392402706181e+05, 1.045298961578661e+00, 1.057001556780075e+00, 0.000000000000000e+00, 2.130270844503367e-01, 9.874788353207361e-08, 8.778022294173218e-04, -1.137833586035764e-04, -2.884708414863556e+00, 1.416891592502885e+00, 1.302013972721190e-16
20, 9.451561583331421e-01, 6.031871672267523e-03, 9.872413031248077e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.608703614992886e+00, 1.000000000000000e-10, 7.608189787307883e+05, 1.043481445957665e+00, 1.056966967097959e+00, 0.000000000000000e+00, 2.044798674680777e-01, 9.874540808450783e-08, 8.754254533733874e-04, -1.188100157479329e-04, -2.713623186957360e+00, 1.414361484897174e+00, 1.297606302754911e-16
21, 9.378159094843285e-01, 7.049956371582586e-03, 9.856452050590935e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.604409006294354e+00, 1.000000000000000e-10, 7.620340304819166e+05, 1.041763602478316e+00, 1.056935697684298e+00, 0.000000000000000e+00, 1.964013779134711e-01, 9.874317022141969e-08, 8.729252798567593e-04, -1.236961123312908e-04, -2.637668825820646e+00, 1.411804881737020e+00, 1.293442760133273e-16
22, 9.302760494427528e-01, 8.140427425297697e-03, 9.838587203266618e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.599620741830778e+00, 1.000000000000000e-10, 7.634032020286939e+05, 1.039848296692957e+00, 1.056908146677508e+00, 0.000000000000000e+00, 1.873942838639228e-01, 9.874119844732474e-08, 8.693403571092471e-04, -1.282754669782828e-04, -2.495903418879601e+00, 1.408236908781905e+00, 1.288782797747577e-16
23, 9.225425163915051e-01, 9.303621021225219e-03, 9.819778126547019e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.594594541859370e+00, 1.000000000000000e-10, 7.648533180307649e+05, 1.037837816704468e+00, 1.056885199777329e+00, 0.000000000000000e+00, 1.779396148082160e-01, 9.873955616136127e-08, 8.652423696654675e-04, -1.325973952016093e-04, -2.354418282480813e+00, 1.404181091911391e+00, 1.283880173246145e-16
24, 9.146203641543068e-01, 1.053964313886322e-02, 9.798924362955134e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.589040416310151e+00, 1.000000000000000e-10, 7.664718880033065e+05, 1.035616166484864e+00, 1.056867190852105e+00, 0.000000000000000e+00, 1.674918771017158e-01, 9.873826726896121e-08, 8.617270474320917e-04, -1.368091917621149e-04, -2.234647072034897e+00, 1.400442641687831e+00, 1.278448246346488e-16
25, 9.065139549408580e-01, 1.184834158408448e-02, 9.778980139208078e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.583740743294847e+00, 1.000000000000000e-10, 7.680288898532307e+05, 1.033496297278823e+00, 1.056854889330533e+00, 0.000000000000000e+00, 1.575227841988917e-01, 9.873738684724746e-08, 8.575414855375467e-04, -1.406983618354483e-04, -2.034953774514669e+00, 1.396210061496083e+00, 1.273259691121006e-16
26, 8.982270214863128e-01, 1.322932812471328e-02, 9.755564902707737e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.577532144739404e+00, 1.000000000000000e-10, 7.698683599529080e+05, 1.031012857856739e+00, 1.056845880417005e+00, 0.000000000000000e+00, 1.458439323873147e-01, 9.873674207479948e-08, 8.546305104872126e-04, -1.445691966325991e-04, -1.770011300572317e+00, 1.392751531458440e+00, 1.267176000456784e-16
27, 8.897627755622129e-01, 1.468196911750672e-02, 9.731634463548968e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.571191450840818e+00, 1.000000000000000e-10, 7.717579991072835e+05, 1.028476580297401e+00, 1.056838482939003e+00, 0.000000000000000e+00, 1.339165990667820e-01, 9.873621263158933e-08, 8.546474733971581e-04, -1.487140710554153e-04, -1.645498870650003e+00, 1.391625072550805e+00, 1.260972562430924e-16
28, 8.811239726470761e-01, 1.620536690036474e-02, 9.707108258306195e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.564689474954775e+00, 1.000000000000000e-10, 7.737031532363750e+05, 1.025875789943081e+00, 1.056829451824912e+00, 0.000000000000000e+00, 1.216858819125916e-01, 9.873556626532760e-08, 8.574313485676704e-04, -1.531317769206653e-04, -1.598656423017669e+00, 1.392686915973299e+00, 1.254632372015107e-16
29, 8.723129769358932e-01, 1.779839199499992e-02, 9.678964329313429e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.557217011205759e+00, 1.000000000000000e-10, 7.759447848329074e+05, 1.022886804443587e+00, 1.056814313640668e+00, 0.000000000000000e+00, 1.076296023814184e-01, 9.873448280362438e-08, 8.655502776753583e-04, -1.583132148750904e-04, -1.711514834737300e+00, 1.397777238988165e+00, 1.247380756082511e-16
