"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
0, 1.000000000000000e+00, 1.387779000000000e-17, 9.851491934900066e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.603791912278702e+00, 1.000000000000000e-10, 7.670231767319622e+05, 1.041516764872075e+00, 1.057217294349478e+00, 0.000000000000000e+00, 1.952405765670889e-01, 9.876332212809384e-08, 2.588738597290442e-08, -2.503997768726861e-04, -1.438673123488280e+01, 7.520467226208268e-01, 1.284380277341417e-16
1, 5.000000000000000e-01, 5.046727000000000e-02, 8.587463841455329e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.262669371497026e+00, 1.000000000000000e-10, 8.725180011304142e+05, 9.050677485644604e-01, 1.053940680594560e+00, 0.000000000000000e+00, -4.464371817553038e-01, 9.852867517862884e-08, 2.445401561150842e-03, -6.414405084310004e-05, -8.735139129222824e+01, 2.199846823647661e+00, 9.842162123066885e-17
2, 0.000000000000000e+00, 0.000000000000000e+00, 9.707607176876871e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.561907150667975e+00, 1.000000000000000e-10, 7.638340123492342e+05, 1.024762860228359e+00, 1.055628685377076e+00, 0.000000000000000e+00, 1.164521157496798e-01, 9.864960210078366e-08, -3.187848732201122e-12, 5.819651438041169e-03, -1.101161782718616e+03, 3.619484762290884e+00, 1.270905323859834e-16
3, 5.000000000000000e-01, -5.046727000000000e-02, 9.444165148735827e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.491011848630720e+00, 1.000000000000000e-10, 7.938543147314704e+05, 9.964047394145111e-01, 1.055047983302037e+00, 0.000000000000000e+00, -1.690740479858346e-02, 9.860801187011459e-08, 3.020475877984817e-03, 7.922852814508465e-05, -1.547603245239982e+02, 2.561856511415926e+00, 1.189659700023275e-16
12, 9.953604985593988e-01, 1.041901204327229e-03, 9.837155416574263e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.600510521730826e+00, 1.000000000000000e-10, 7.638452367749091e+05, 1.040204208652982e+00, 1.057423782184411e+00, 0.000000000000000e+00, 1.890680283499516e-01, 9.877809735279991e-08, 2.627460120690923e-04, -5.848819804596735e-05, 4.160851766056674e+01, 7.790519600349861e-01, 1.287847289603692e-16
13, 9.901513144104419e-01, 2.192352487934547e-03, 9.814180575612829e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.594684724737787e+00, 1.000000000000000e-10, 7.656936358776412e+05, 1.037873889855858e+00, 1.057524753961489e+00, 0.000000000000000e+00, 1.781092557447760e-01, 9.878532186873788e-08, 2.099136467663767e-04, -4.592236740452312e-05, 2.089343399923033e+01, 6.951908278296697e-01, 1.281738035909045e-16
14, 9.845664214358646e-01, 3.403298774687973e-03, 9.801500677492451e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.591409551008208e+00, 1.000000000000000e-10, 7.666848978347552e+05, 1.036563820364077e+00, 1.057556240081049e+00, 0.000000000000000e+00, 1.719484018413867e-01, 9.878757462702341e-08, 2.223860472882656e-04, -4.773611272686217e-05, 1.130200271046188e+01, 7.147629191700873e-01, 1.278427069477676e-16
15, 9.786627687566776e-01, 4.658417769831101e-03, 9.783057517851710e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.586513809706430e+00, 1.000000000000000e-10, 7.681179577770144e+05, 1.034605523843440e+00, 1.057548237813726e+00, 0.000000000000000e+00, 1.627391355857754e-01, 9.878700208660225e-08, 2.604761188499002e-04, -5.479339296548862e-05, 6.940671761225987e+00, 7.724958351857176e-01, 1.273640852349564e-16
16, 9.724726573606256e-01, 5.947326113287674e-03, 9.762227628904998e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.580926906478276e+00, 1.000000000000000e-10, 7.697344872482880e+05, 1.032370762552261e+00, 1.057515560788106e+00, 0.000000000000000e+00, 1.522297405420155e-01, 9.878466411247746e-08, 3.119238356649256e-04, -6.423122567387046e-05, 4.938781641961981e+00, 8.440956726055201e-01, 1.268259888569064e-16
17, 9.660174281351556e-01, 7.262341017480705e-03, 9.739764208589490e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.574863083627222e+00, 1.000000000000000e-10, 7.714786377731863e+05, 1.029945233411929e+00, 1.057464237690294e+00, 0.000000000000000e+00, 1.408232229750082e-01, 9.878099197884621e-08, 3.708999274100914e-04, -7.468560116541731e-05, 3.983017018952687e+00, 9.190058151408456e-01, 1.262480791156442e-16
