"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
0, 1.000000000000000e+00, 1.387779000000000e-17, 9.959819443081245e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.614364961089200e+00, 1.000000000000000e-10, 7.518735456686842e+05, 1.045745984395841e+00, 1.049964801442546e+00, 0.000000000000000e+00, 2.477353580636325e-01, 9.824278522829390e-08, 1.515950754193519e-08, -1.466327001873826e-04, 8.867206384326652e+00, 5.420867633021677e-01, 1.324667084174871e-16
1, 5.000000000000000e-01, 5.046727000000000e-02, 8.855255953234542e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.316317021732469e+00, 1.000000000000000e-10, 8.413535199213966e+05, 9.265268086575665e-01, 1.046301556443590e+00, 0.000000000000000e+00, -3.978908226740544e-01, 9.797954432584939e-08, 3.068942899124516e-03, -8.049983793392654e-05, -1.114088344641704e+02, 2.345108058878566e+00, 1.052501190665525e-16
2, 0.000000000000000e+00, 0.000000000000000e+00, 1.029206270656044e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.700992978060958e+00, 1.000000000000000e-10, 7.185263774883728e+05, 1.080397191183215e+00, 1.049738251686458e+00, 0.000000000000000e+00, 4.353874380041744e-01, 9.822651836333082e-08, -2.625480711779838e-12, 4.793007413309259e-03, -5.014089049749226e+02, 3.165335856041693e+00, 1.432384807885036e-16
3, 5.000000000000000e-01, -5.046727000000000e-02, 9.425674655821380e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.468518641510000e+00, 1.000000000000000e-10, 7.911558079721516e+05, 9.874074565662972e-01, 1.047572181962026e+00, 0.000000000000000e+00, -6.819436279884343e-02, 9.807090234912445e-08, 3.139378191089771e-03, 8.234739273493751e-05, -1.197980351366999e+02, 2.444787863717980e+00, 1.191380336389685e-16
12, 9.953604985593988e-01, 1.041901204327229e-03, 9.936418995269997e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.608499499255859e+00, 1.000000000000000e-10, 7.521529370498288e+05, 1.043399799662598e+00, 1.050076290220133e+00, 0.000000000000000e+00, 2.350296982631146e-01, 9.825078978535125e-08, 2.483248912193690e-04, -5.527800518457522e-05, 3.088622270219806e+01, 7.131305679258443e-01, 1.321063980459051e-16
13, 9.901513144104419e-01, 2.192352487934547e-03, 9.916760994769102e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.603391874902733e+00, 1.000000000000000e-10, 7.536740424246949e+05, 1.041356749921426e+00, 1.050097658369221e+00, 0.000000000000000e+00, 2.239656526237985e-01, 9.825232390647751e-08, 3.029292600687501e-04, -6.627119766986841e-05, 1.642121208684295e+01, 7.865341379028240e-01, 1.315789468527902e-16
14, 9.845664214358646e-01, 3.403298774687973e-03, 9.895488804054159e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.597710250675215e+00, 1.000000000000000e-10, 7.552627025861518e+05, 1.039084100230504e+00, 1.050058386003927e+00, 0.000000000000000e+00, 2.116582185971943e-01, 9.824950434472498e-08, 3.853751737543515e-04, -8.272242328506246e-05, 9.815797302687324e+00, 8.858295953535935e-01, 1.310205218602022e-16
15, 9.786627687566776e-01, 4.658417769831101e-03, 9.868507952241772e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.590444293786492e+00, 1.000000000000000e-10, 7.572805760435957e+05, 1.036177717475123e+00, 1.049984174395624e+00, 0.000000000000000e+00, 1.959188311496768e-01, 9.824417617750459e-08, 4.785432772658943e-04, -1.006656961797439e-04, 6.694883473001997e+00, 9.853942295607043e-01, 1.303151100896962e-16
16, 9.724726573606256e-01, 5.947326113287674e-03, 9.839562179073139e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.582614612710327e+00, 1.000000000000000e-10, 7.594518822052017e+05, 1.033045845044773e+00, 1.049890052264585e+00, 0.000000000000000e+00, 1.789583143264130e-01, 9.823741823114596e-08, 5.786006819049692e-04, -1.191452102250240e-04, 4.949185400305413e+00, 1.081530202425940e+00, 1.295613879225207e-16
17, 9.660174281351556e-01, 7.262341017480705e-03, 9.808807496988153e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.574280077958444e+00, 1.000000000000000e-10, 7.617699294906787e+05, 1.029712031144142e+00, 1.049783096936423e+00, 0.000000000000000e+00, 1.609041923898577e-01, 9.822973850551607e-08, 6.827996677704466e-04, -1.374907350860687e-04, 3.649005909807373e+00, 1.172618102985167e+00, 1.287634040743487e-16
