"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -4.037267537,       -15.6942618,      -15.79778144,      -3.469066627,      0.1590334799,       6.146864962,      0.1424421033,     0.08589123359,                 0,                 0,                 0,     0.02417294687,       0.135697905,     0.09619321901,                 0,      0.6029904895,    0.001098846228
          0,           0,           1,      -3.948537475,      -3.894063634,      -3.804442323,       -3.39536043,     -0.4404150959,       5.547641722,       0.210717287,       0.211128993,                 0,                 0,                 0,     0.05556600498,      0.1945214004,      0.2261385671,                 0,       1.001953831,    0.001098846228
          0,           0,           2,      -3.847803671,         -3.890676,       -3.68030331,      -3.299942558,      -1.037786106,       4.950673364,      0.2829382449,      0.3305252144,                 0,                 0,                 0,     0.08428053073,      0.2577119935,      0.3505502762,                 0,       1.168188537,    0.001098846228
          0,           0,           3,      -3.825944836,      -3.882734099,      -3.671212201,      -3.280694022,      -1.631559076,       4.357609256,       0.352491556,      0.4358521922,                 0,                 0,                 0,      0.1084548793,      0.3192830385,      0.4607339491,                 0,       1.236489739,    0.001098846228
          0,           0,           4,      -3.832238445,        -3.9093061,      -3.709033487,      -3.288197058,      -2.219371105,       3.771024385,      0.4140793872,      0.5201455334,                 0,                 0,                 0,      0.1268040436,      0.3744664175,      0.5493523614,                 0,       1.256149303,    0.001098846228
          0,           0,           5,      -3.846073684,      -3.948340014,      -3.770346114,      -3.301954264,      -2.797740531,       3.194849721,      0.4617426831,      0.5780264633,                 0,                 0,                 0,       0.138614254,      0.4177173045,      0.6106006479,                 0,       1.251836758,    0.001098846228
          0,           0,           6,      -3.859370695,      -3.988687302,      -3.841037312,      -3.314128984,      -3.359534178,       2.637798385,      0.4903220339,      0.6071917136,                 0,                 0,                 0,      0.1439672843,      0.4440608135,      0.6418001776,                 0,       1.238352902,    0.001098846228
          0,           0,           7,      -3.871062884,      -4.026802293,      -3.907603726,      -3.324086288,      -3.888841018,       2.121510177,      0.4975352407,      0.6096684358,                 0,                 0,                 0,      0.1438232602,      0.4510710376,      0.6448037193,                 0,       1.225377392,    0.001098846228
          0,           0,           8,      -3.884000146,       -4.06378814,      -3.957204156,      -3.335179534,      -4.370195546,       1.684690911,      0.4852476786,      0.5919330234,                 0,                 0,                 0,       0.139906781,      0.4401291419,      0.6262079145,                 0,       1.219857507,    0.001098846228
          0,           0,           9,      -3.902137999,      -4.100203681,      -3.985155972,      -3.351865491,      -4.792374899,       1.371416764,      0.4597406748,      0.5636223558,                 0,                 0,                 0,      0.1342978761,       0.416786343,      0.5960879065,                 0,       1.225957125,    0.001098846228
          0,           0,          10,      -3.928258285,      -4.133839737,       -3.99965116,      -3.377380187,      -5.149710026,       1.121296042,      0.4305322891,      0.5348903891,                 0,                 0,                 0,      0.1289210296,        0.38978347,      0.5652739396,                 0,       1.242393202,    0.001098846228
          0,           0,          11,       -3.96203445,      -4.163597433,      -4.014341031,      -3.411378047,      -5.447467982,      0.8310606713,      0.4067655507,      0.5131885739,                 0,                 0,                 0,      0.1249549688,      0.3676872704,       0.541873414,                 0,       1.261632341,    0.001098846228
          0,           0,          12,      -3.999792277,      -4.192882328,      -4.038639448,      -3.449304626,      -5.697792549,      0.5173611906,      0.3930251511,      0.5019568905,                 0,                 0,                 0,      0.1229981461,      0.3548153968,      0.5296560426,                 0,        1.27716226,    0.001098846228
          0,           0,          13,      -4.037848149,      -4.223855717,      -4.074787637,       -3.48703202,       -5.91203494,      0.4350872503,       0.388604355,      0.5004665391,                 0,                 0,                 0,      0.1229001812,      0.3505169642,      0.5278427411,                 0,       1.287856229,    0.001098846228
