"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -3.855756925,      -15.54536098,      -15.81417659,      -3.285887083,      0.5017054967,        6.48953985,      0.1193111695,     0.04655303238,                 0,                 0,                 0,      0.0125436903,      0.1179064221,     0.05000415589,                 0,      0.3901816786,    0.001721549989
          0,           0,           1,      -3.750796419,       -3.71412467,        -3.5867205,      -3.195320277,    -0.09862766128,       5.889356222,      0.1793844006,     0.09343952215,                 0,                 0,                 0,     0.02416788696,      0.1765902761,     0.09861836477,                 0,       0.520889898,    0.001721549989
          0,           0,           2,      -3.644969886,      -3.676085278,      -3.463027298,      -3.094805844,     -0.6975896817,       5.290661002,      0.2418583647,      0.1374035469,                 0,                 0,                 0,     0.03461279925,       0.237758863,       0.144381184,                 0,      0.5681157526,    0.001721549989
          0,           0,           3,      -3.620601695,      -3.669238499,      -3.454286662,      -3.073688929,      -1.294207671,       4.694509963,      0.3019519056,      0.1755964172,                 0,                 0,                 0,     0.04325724873,      0.2967159202,      0.1843060436,                 0,      0.5815377017,    0.001721549989
          0,           0,           4,      -3.624321912,      -3.696978065,      -3.492588062,       -3.07937988,      -1.887065851,       4.102443111,      0.3548587497,      0.2055127014,                 0,                 0,                 0,     0.04966229697,      0.3487300924,       0.215748755,                 0,      0.5791394509,    0.001721549989
          0,           0,           5,      -3.635749962,      -3.737399635,      -3.555058939,      -3.091403074,      -2.474455505,       3.516377087,      0.3953183156,      0.2253122793,                 0,                 0,                 0,     0.05361042393,      0.3885965548,      0.2367169438,                 0,      0.5699515312,    0.001721549989
          0,           0,           6,      -3.647526151,       -3.77973409,       -3.62850775,      -3.102495775,      -3.052990916,       2.940399728,      0.4186343961,      0.2343601425,                 0,                 0,                 0,     0.05518151581,      0.4116395603,      0.2464392549,                 0,       0.559820561,    0.001721549989
          0,           0,           7,      -3.659076385,      -3.820836386,       -3.70064168,      -3.112419156,      -3.610070516,       2.389231953,      0.4226868258,      0.2336283349,                 0,                 0,                 0,     0.05477632578,      0.4157115636,      0.2458256444,                 0,      0.5527220643,    0.001721549989
          0,           0,           8,      -3.673274339,      -3.861693914,      -3.758923478,      -3.124615979,      -4.129362236,       1.886084291,      0.4096022833,      0.2257333424,                 0,                 0,                 0,     0.05304762787,      0.4028622283,      0.2375533569,                 0,       0.551103721,    0.001721549989
          0,           0,           9,      -3.693907166,      -3.901718616,      -3.796594286,      -3.143563101,      -4.599179893,       1.463367868,      0.3857228838,      0.2143814139,                 0,                 0,                 0,     0.05077219595,      0.3793231687,      0.2255115682,                 0,      0.5557912763,    0.001721549989
          0,           0,          10,      -3.723721622,      -3.937390007,      -3.818959211,      -3.172664771,      -5.005213722,       1.134165241,      0.3599109081,      0.2033544211,                 0,                 0,                 0,     0.04865582043,      0.3538428982,      0.2137383581,                 0,        0.56501322,    0.001721549989
          0,           0,          11,      -3.762195296,      -3.967835477,      -3.838752589,      -3.211359153,      -5.343308889,      0.8418215141,       0.340157343,       0.195301555,                 0,                 0,                 0,     0.04711723809,      0.3343319554,      0.2051142584,                 0,      0.5741506366,    0.001721549989
          0,           0,          12,      -3.805410197,      -3.997544201,      -3.865967625,       -3.25472163,       -5.62311576,      0.5658001363,      0.3297178121,      0.1913198908,                 0,                 0,                 0,     0.04637636774,      0.3240126714,      0.2008305878,                 0,       0.580253428,    0.001948976701
          0,           0,          13,      -3.849616626,      -4.028005064,      -3.903643911,      -3.298685064,       -5.85666115,      0.4077650856,       0.327238157,      0.1909988551,                 0,                 0,                 0,     0.04636724316,      0.3215434049,      0.2004375535,                 0,      0.5836692666,    0.001948976701
