"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
0, 1.000000000000000e+00, 0.000000000000000e+00, 9.978252644999169e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.638269328814885e+00, 1.000000000000000e-10, 7.513221066357733e+05, 1.055307731486041e+00, 1.057607748602089e+00, 0.000000000000000e+00, 2.600952510925435e-01, 9.879125987064903e-08, 9.332041935357215e-09, -6.785501137403190e-05, 1.815703147856327e+01, 3.938875281947057e-01, 1.328092999706773e-16
1, 5.000000000000000e-01, 5.362888000000000e-02, 8.805497111217330e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.319057505110779e+00, 1.000000000000000e-10, 8.504420953723722e+05, 9.276230020090893e-01, 1.053458981693822e+00, 0.000000000000000e+00, -3.403667617523178e-01, 9.849414941723093e-08, 3.052256646401617e-03, -1.735689200305946e-04, -1.564198288623700e+02, 2.491154047274831e+00, 1.035402305561126e-16
2, 0.000000000000000e+00, 0.000000000000000e+00, 1.141301039150025e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.024722194431228e+00, 1.000000000000000e-10, 6.519445853712647e+05, 1.209888877726839e+00, 1.060096185164165e+00, 0.000000000000000e+00, 9.870428398907047e-01, 9.896919384471792e-08, -1.030678165210302e-12, 1.666392364389804e-03, -3.641097584338209e+00, 2.096143422527296e+00, 1.750610502552940e-16
3, 5.000000000000000e-01, -5.362888000000000e-02, 9.089523491809397e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.395556613308993e+00, 1.000000000000000e-10, 8.243163967606054e+05, 9.582226452872391e-01, 1.054205587510387e+00, 0.000000000000000e+00, -1.964660504425191e-01, 9.854765909297078e-08, 3.044028703006784e-03, 1.731010358615715e-04, -1.564471513329271e+02, 2.526225833704854e+00, 1.102674111998009e-16
12, 9.953184289053464e-01, 8.073477419458863e-04, 9.936205530768764e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.627203628744664e+00, 1.000000000000000e-10, 7.563043922718100e+05, 1.050881451458121e+00, 1.057628536571560e+00, 0.000000000000000e+00, 2.392798174391421e-01, 9.879274714790303e-08, 5.277033477249808e-04, -9.047558803910075e-05, 2.031102361118783e+01, 1.104074683623077e+00, 1.313784405618150e-16
13, 9.900615495522168e-01, 1.703963320182082e-03, 9.911024652847232e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.620386681201540e+00, 1.000000000000000e-10, 7.582036536616874e+05, 1.048154672440972e+00, 1.057564388299507e+00, 0.000000000000000e+00, 2.264566143519174e-01, 9.878815760767403e-08, 7.224374859632352e-04, -1.224554481853524e-04, 8.476261548653302e+00, 1.290038804205054e+00, 1.307172294722110e-16
14, 9.844270376903537e-01, 2.653473141731414e-03, 9.875357831876008e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.610669796914979e+00, 1.000000000000000e-10, 7.608679196736432e+05, 1.044267918726490e+00, 1.057448182136517e+00, 0.000000000000000e+00, 2.081784070174098e-01, 9.877984319672163e-08, 8.697643826526107e-04, -1.456130327284307e-04, 1.609548562039722e+00, 1.412807345152806e+00, 1.297907392998976e-16
15, 9.784730598595011e-01, 3.644069356430855e-03, 9.840286363058353e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.601068145032427e+00, 1.000000000000000e-10, 7.634960509557707e+05, 1.040427257973610e+00, 1.057314004478063e+00, 0.000000000000000e+00, 1.901169607052657e-01, 9.877024239120846e-08, 9.886041485271911e-04, -1.633581258083396e-04, -2.762801454547538e+00, 1.503441622723013e+00, 1.288846113575555e-16
16, 9.722327290956625e-01, 4.668475203502033e-03, 9.805849113501280e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.591631739657435e+00, 1.000000000000000e-10, 7.660938126226476e+05, 1.036652695823751e+00, 1.057177898440661e+00, 0.000000000000000e+00, 1.723663557942726e-01, 9.876050299592822e-08, 1.092460865846269e-03, -1.780676297507044e-04, -6.168891651993882e+00, 1.577545839053389e+00, 1.279980526035710e-16
17, 9.657280077823821e-01, 5.721472113246134e-03, 9.771794647471710e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.582307813791874e+00, 1.000000000000000e-10, 7.686821569198924e+05, 1.032923125477662e+00, 1.057045468863710e+00, 0.000000000000000e+00, 1.548273334990272e-01, 9.875102609021830e-08, 1.187786437539808e-03, -1.908737329502059e-04, -9.397246282026764e+00, 1.641934065133885e+00, 1.271240235390972e-16
