"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
0, 1.000000000000000e+00, 5.551115000000000e-17, 1.000743937691136e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.645544437797272e+00, 1.000000000000000e-10, 7.526182947933427e+05, 1.058217775078879e+00, 1.057431112218719e+00, 0.000000000000000e+00, 2.737802911155741e-01, 9.877862182704021e-08, 1.132852423465937e-07, -3.877765259581325e-04, -2.852309527764151e+01, 9.431088677966158e-01, 1.329684058044345e-16
1, 5.000000000000000e-01, 8.508461000000000e-02, 7.966567976289762e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.092929366489099e+00, 1.000000000000000e-10, 9.380832295560284e+05, 8.371717465637731e-01, 1.050856214439365e+00, 0.000000000000000e+00, -7.657311975115937e-01, 9.830746260950367e-08, 3.347329786456573e-03, -3.607738056818905e-04, -1.960047118547022e+02, 2.491322793682733e+00, 8.492388992947021e-17
2, 0.000000000000000e+00, 0.000000000000000e+00, 1.059829650819394e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.802712298031127e+00, 1.000000000000000e-10, 7.038993798972310e+05, 1.121084919170057e+00, 1.057797277424070e+00, 0.000000000000000e+00, 5.694251347662866e-01, 9.880481919938992e-08, -1.755078598317867e-12, 4.045309404622857e-03, -4.199947318350749e+02, 3.143915532971164e+00, 1.505654931554105e-16
3, 5.000000000000000e-01, -8.508461000000000e-02, 8.823720693213603e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.323251650818227e+00, 1.000000000000000e-10, 8.483656081214767e+05, 9.293006602919959e-01, 1.053184583467980e+00, 0.000000000000000e+00, -3.324772508174823e-01, 9.847447848145010e-08, 3.400589514973382e-03, 3.665141323161250e-04, -2.100340274245679e+02, 2.638219321689041e+00, 1.040084369566482e-16
12, 9.953302609081321e-01, 3.928080762356919e-04, 9.984021219883120e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.639357459131332e+00, 1.000000000000000e-10, 7.525666096073631e+05, 1.055742983612596e+00, 1.057432631964053e+00, 0.000000000000000e+00, 2.621421079804203e-01, 9.877873056672890e-08, 8.037690566179975e-04, -6.996299443676590e-05, -1.507014708055216e+01, 1.358778428843237e+00, 1.326664363468161e-16
13, 9.900902163816916e-01, 8.625837614035186e-04, 9.974953279774046e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.636877109191512e+00, 1.000000000000000e-10, 7.532193739329689e+05, 1.054750843636705e+00, 1.057399282035131e+00, 0.000000000000000e+00, 2.574763788099223e-01, 9.877634431984045e-08, 8.765397503135473e-04, -8.125469958636660e-05, -1.149112980220168e+01, 1.418703679294365e+00, 1.324311154951740e-16
14, 9.844794051378548e-01, 1.398675779957617e-03, 9.963562731695293e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.633732497349118e+00, 1.000000000000000e-10, 7.540531178663506e+05, 1.053492998899793e+00, 1.057345677714765e+00, 0.000000000000000e+00, 2.515611218667743e-01, 9.877250875801946e-08, 9.099696811922320e-04, -8.978577060206935e-05, -9.394648251199168e+00, 1.445144015156274e+00, 1.321336550787362e-16
15, 9.785568911191920e-01, 2.000565078474549e-03, 9.952155354438498e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.630590221780971e+00, 1.000000000000000e-10, 7.548919441445990e+05, 1.052236088672580e+00, 1.057294677582882e+00, 0.000000000000000e+00, 2.456502596353287e-01, 9.876885944602077e-08, 9.213743529960310e-04, -9.655200496007117e-05, -7.710321233323986e+00, 1.453841087195898e+00, 1.318357286509343e-16
16, 9.723566778924241e-01, 2.669031979177175e-03, 9.939755791234967e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.627210950738833e+00, 1.000000000000000e-10, 7.558132428971095e+05, 1.050884380255774e+00, 1.057253721648233e+00, 0.000000000000000e+00, 2.392935906737436e-01, 9.876592878376863e-08, 9.240895556955642e-04, -1.025692500339107e-04, -6.518324621351256e+00, 1.455599096654012e+00, 1.315109759058178e-16
17, 9.659016001617013e-01, 3.405238136913897e-03, 9.927262290512427e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.623828845965061e+00, 1.000000000000000e-10, 7.567480193819448e+05, 1.049531538346315e+00, 1.057221525565373e+00, 0.000000000000000e+00, 2.329315912448207e-01, 9.876362490665295e-08, 9.233332540426416e-04, -1.082405300815949e-04, -5.784641421418216e+00, 1.454633104911907e+00, 1.311834328419125e-16
