"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -3.706985657,      -15.65218227,      -15.70769539,      -3.137115814,      0.4967653979,       6.484599751,      0.1615482043,     0.06795691697,                 0,                 0,                 0,     0.01890849411,      0.1583790301,     0.07504696982,                 0,      0.4206603056,    0.001582920568
          0,           0,           1,      -3.699478277,      -3.690974412,      -3.595594726,      -3.141746444,     -0.1035674372,       5.884416473,      0.2649774651,      0.1356277073,                 0,                 0,                 0,     0.03598780546,      0.2587088525,      0.1472333578,                 0,      0.5118461952,    0.001582920568
          0,           0,           2,      -3.618854353,      -3.665685839,        -3.4702896,      -3.067169289,     -0.7025292739,        5.28572146,      0.3706794257,       0.199504508,                 0,                 0,                 0,     0.05116842567,      0.3614772214,      0.2157301642,                 0,      0.5382130599,    0.001582920568
          0,           0,           3,      -3.602569167,      -3.661866925,      -3.458899058,      -3.054419254,      -1.299148236,       4.689569409,      0.4711346574,      0.2554782864,                 0,                 0,                 0,     0.06354779075,      0.4593541255,      0.2760992713,                 0,      0.5422617131,    0.001582920568
          0,           0,           4,      -3.611124722,      -3.689686301,      -3.493191598,      -3.065120307,      -1.892013129,       4.097495371,      0.5585507501,      0.2998364134,                 0,                 0,                 0,     0.07253875588,      0.5447192789,      0.3242864819,                 0,      0.5368114058,    0.001582920568
          0,           0,           5,      -3.626088664,      -3.728302056,       -3.55028971,       -3.08083854,      -2.479433273,       3.511394482,      0.6247450468,      0.3296691866,                 0,                 0,                 0,     0.07790838355,      0.6095269613,      0.3570224495,                 0,      0.5276859549,    0.001582920568
          0,           0,           6,      -3.639664049,      -3.767617584,      -3.617806372,      -3.093751029,      -3.058083022,       2.935269791,        0.66273855,      0.3437054747,                 0,                 0,                 0,     0.07987562085,      0.6468613396,      0.3727281131,                 0,      0.5186139764,    0.001582920568
          0,           0,           7,      -3.650950776,      -3.805919688,      -3.685041869,      -3.103193667,      -3.615477763,       2.383772789,      0.6696928343,      0.3430414146,                 0,                 0,                 0,     0.07910726923,       0.653838215,      0.3723727878,                 0,      0.5122369496,    0.001582920568
          0,           0,           8,      -3.663532333,      -3.845697989,      -3.740557195,      -3.113399224,      -4.135233166,       1.882687925,      0.6490995628,      0.3313740291,                 0,                 0,                 0,     0.07659465432,      0.6337820401,      0.3598045514,                 0,      0.5105134068,    0.001582920568
          0,           0,           9,      -3.682377231,      -3.886589316,      -3.776671194,      -3.130202665,      -4.605098798,       1.476475087,      0.6110936624,       0.314223405,                 0,                 0,                 0,     0.07342929073,      0.5965732455,      0.3409870602,                 0,      0.5141984352,    0.001582920568
          0,           0,          10,      -3.710909767,      -3.923137524,      -3.797109511,       -3.15783873,      -5.010708719,       1.174850575,      0.5700390867,      0.2974431933,                 0,                 0,                 0,     0.07057001173,       0.556302359,       0.322404558,                 0,      0.5217943825,    0.001582920568
          0,           0,          11,      -3.748133146,      -3.952622234,       -3.81450779,      -3.195197914,      -5.348548782,      0.8906498402,      0.5385587754,      0.2850834503,                 0,                 0,                 0,     0.06850117274,      0.5254005051,      0.3086623355,                 0,      0.5293451028,    0.001582920568
          0,           0,          12,      -3.789112682,      -3.980680492,      -3.839213981,      -3.236041315,      -5.627963962,      0.5832670651,      0.5220233507,      0.2790313611,                 0,                 0,                 0,     0.06754723697,      0.5091494292,      0.3018836498,                 0,      0.5345189266,      0.0017454296
          0,           0,          13,      -3.830179777,      -4.009775238,      -3.873942198,      -3.276397697,      -5.860597736,      0.4053951149,      0.5184295404,      0.2785707362,                 0,                 0,                 0,     0.06760210389,      0.5055795533,      0.3012642671,                 0,      0.5373357699,      0.0017454296
          0,           0,          14,      -3.869569805,      -4.037511796,      -3.915370761,      -3.315164788,      -6.055111405,      0.3204081876,      0.5221366699,       0.281342965,                 0,                 0,                 0,     0.06823108567,      0.5091602304,      0.3041980043,                 0,      0.5388301209,      0.0017454296
          0,           0,          15,      -3.905314968,      -4.062848786,       -3.95790645,      -3.350083571,      -6.217730895,      0.2429856765,      0.5273987553,      0.2847367104,                 0,                 0,                 0,     0.06892085549,      0.5142668027,      0.3078215343,                 0,      0.5398888555,      0.0017454296
          0,           0,          16,      -3.937062806,      -4.086651248,      -3.997296605,      -3.380521959,      -6.353444295,       0.168207011,      0.5304891435,      0.2870130872,                 0,                 0,                 0,     0.06934765325,      0.5172533107,      0.3102325839,                 0,      0.5410347991,      0.0017454296
          0,           0,          17,       -3.96609129,      -4.110502126,      -4.032965729,      -3.407716795,      -6.468544666,      0.0968374362,      0.5303495506,      0.2877261902,                 0,                 0,                 0,     0.06945791087,      0.5170822636,      0.3109388027,                 0,       0.542521795,      0.0017454296
          0,           0,          18,      -3.994148318,      -4.135931897,      -4.067665322,      -3.433696574,      -6.569269069,     0.03463467168,      0.5280411882,      0.2874086903,                 0,                 0,                 0,     0.06937882922,      0.5147902331,      0.3105193514,                 0,      0.5442921816,      0.0017454296
          0,           0,          19,      -4.021654796,      -4.163288274,      -4.103365032,      -3.459290039,      -6.657688689,     -0.0180966296,      0.5251826229,      0.2868560325,                 0,                 0,                 0,     0.06926868659,      0.5119589576,      0.3098405985,                 0,      0.5462024447,      0.0017454296
          0,           0,          20,      -4.047334145,      -4.190388252,       -4.13585179,      -3.483652957,      -6.736355493,    -0.06363247957,      0.5226679211,      0.2865526039,                 0,                 0,                 0,      0.0692127886,       0.509460167,      0.3094260636,                 0,      0.5482498396,      0.0017454296
          0,           0,          21,      -4.068715669,      -4.212038693,      -4.152112851,      -3.504634669,      -6.807528049,     -0.1051636379,      0.5203777461,      0.2865376984,                 0,                 0,                 0,     0.06920830211,      0.5071729008,      0.3093097154,                 0,      0.5506340357,      0.0017454296
          0,           0,          22,      -4.082253609,      -4.220548774,      -4.137817168,      -3.518710309,       -6.87269715,     -0.1434960889,      0.5176220442,      0.2866076567,                 0,                 0,                 0,      0.0692094113,      0.5044168051,      0.3092575241,                 0,       0.553700639,      0.0017454296
          0,           0,          23,      -4.083885282,      -4.206950833,       -4.09264752,      -3.521521249,      -6.932523643,      -0.182020115,      0.5136656335,      0.2865641048,                 0,                 0,                 0,     0.06917179655,      0.5004662082,      0.3090387415,                 0,      0.5578806252,      0.0017454296
          0,           0,          24,      -4.072053889,      -4.166778349,       -4.03041271,      -3.511486406,      -6.986449326,     -0.2218208582,      0.5078778282,      0.2863036637,                 0,                 0,                 0,     0.06905659907,       0.494695623,      0.3085221496,                 0,      0.5637254627,      0.0017454296
          0,           0,          25,      -4.050016889,      -4.106422491,      -3.965899522,      -3.492901327,      -7.032265021,     -0.2611265782,      0.4995258908,      0.2857476945,                 0,                 0,                 0,     0.06879032623,      0.4863765154,      0.3075967258,                 0,      0.5720378058,      0.0017454296
          0,           0,          26,       -4.02171455,      -4.039256389,      -3.908872224,      -3.471403914,      -7.066562998,     -0.2937213723,      0.4874535166,      0.2847271129,                 0,                 0,                 0,     0.06819832226,      0.4743612066,      0.3060423261,                 0,      0.5841113114,      0.0017454296
          0,           0,          27,      -3.986946976,      -3.975231266,      -3.863498592,      -3.446684519,      -7.087866157,     -0.3103558228,      0.4697955075,       0.282910896,                 0,                 0,                 0,     0.06693293151,      0.4568009942,      0.3034456222,                 0,       0.602200088,      0.0017454296
          0,           0,          28,      -3.947243492,      -3.918854905,      -3.828292395,      -3.417251285,      -7.101589418,     -0.3102010849,      0.4438576288,      0.2797764508,                 0,                 0,                 0,     0.06442664255,      0.4310274403,      0.2991651764,                 0,      0.6303292602,      0.0017454296
          0,           0,          29,       -3.90947375,      -3.872614054,      -3.797078241,      -3.386875847,      -7.122587499,      -0.299738056,      0.4065138269,      0.2745936185,                 0,                 0,                 0,     0.05993267723,      0.3939499071,      0.2923330591,                 0,      0.6754840803,      0.0017454296
          0,           0,          30,      -3.875422173,      -3.832292073,      -3.760346176,      -3.353787509,      -7.148458127,     -0.2667872663,      0.3555000631,      0.2664918019,                 0,                 0,                 0,     0.05273570329,      0.3433451473,      0.2819792283,                 0,      0.7496251889,      0.0017454296
          0,           0,          31,      -3.839344133,      -3.786825377,      -3.709350425,      -3.310910785,      -7.060946209,     -0.2046527493,       0.291256924,      0.2548439396,                 0,                 0,                 0,      0.0425895362,      0.2796810945,      0.2674967565,                 0,      0.8749798497,      0.0017454296
