"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -3.781812725,      -15.67739729,      -15.76177271,      -3.215252494,      0.3768785153,       6.364715909,      0.1592689087,     0.04816291118,                 0,                 0,                 0,     0.01324553637,      0.1578004183,     0.05277574533,                 0,      0.3023999572,    0.001921326661
          0,           0,           1,      -3.760837799,      -3.752199915,      -3.649300265,      -3.206375887,       -0.22322649,       5.764780016,      0.2562214459,     0.09661182307,                 0,                 0,                 0,     0.02535417609,      0.2533025185,      0.1040245538,                 0,       0.377063765,    0.001921326661
          0,           0,           2,      -3.676311701,      -3.729305897,       -3.52497206,       -3.12754045,     -0.8217802757,       5.166527978,      0.3553229548,      0.1423537584,                 0,                 0,                 0,     0.03619892391,      0.3510314285,      0.1526300461,                 0,       0.400632035,    0.001921326661
          0,           0,           3,      -3.659185401,      -3.724659405,      -3.514963438,      -3.113650767,       -1.41767548,       4.571161205,      0.4493190477,      0.1824083858,                 0,                 0,                 0,     0.04512620817,      0.4438225299,      0.1954021181,                 0,      0.4059662877,    0.001921326661
          0,           0,           4,      -3.667543082,      -3.752840045,      -3.550994256,      -3.123904534,      -2.009279367,       3.980455237,        0.53087052,      0.2141107766,                 0,                 0,                 0,     0.05169373095,      0.5244172486,      0.2294634677,                 0,      0.4033201478,    0.001921326661
          0,           0,           5,      -3.682518421,       -3.79302255,      -3.610003464,      -3.139461066,      -2.594524149,       3.396723947,      0.5922432666,      0.2354077338,                 0,                 0,                 0,     0.05569839061,      0.5851444812,      0.2525367776,                 0,      0.3974848631,    0.001921326661
          0,           0,           6,       -3.69636215,      -3.835136859,      -3.679145695,      -3.152574172,       -3.16925328,       2.824934565,      0.6269889965,      0.2454412618,                 0,                 0,                 0,     0.05725312914,      0.6195836254,      0.2635768311,                 0,       0.391460238,    0.001921326661
          0,           0,           7,      -3.708283793,      -3.876946144,      -3.747100137,      -3.162698995,      -3.719768658,       2.281435271,      0.6326968372,      0.2450340706,                 0,                 0,                 0,     0.05679364305,      0.6253008958,      0.2633358563,                 0,        0.38728512,    0.001921326661
          0,           0,           8,      -3.721835884,      -3.919867031,      -3.802211935,      -3.174016567,      -4.229462663,       1.794193227,      0.6130669959,      0.2368043455,                 0,                 0,                 0,     0.05499777068,      0.6059187694,      0.2545385716,                 0,       0.386261774,    0.001921326661
          0,           0,           9,      -3.741823754,      -3.962285642,      -3.837565503,      -3.192152359,      -4.686640525,        1.40768212,      0.5776132756,      0.2246530259,                 0,                 0,                 0,     0.05265974605,      0.5708335422,      0.2413610271,                 0,        0.38893328,    0.001921326661
