"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
0, 1.000000000000000e+00, 0.000000000000000e+00, 1.000244448702878e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.686726983073235e+00, 1.000000000000000e-10, 7.642375987246879e+05, 1.074690793189284e+00, 1.074428150621529e+00, 0.000000000000000e+00, 2.712852480190415e-01, 9.998948650054703e-08, 1.875688843008594e-08, -2.013349323605439e-04, -2.502701625723526e+00, 7.637031456212844e-01, 1.308813474967015e-16
1, 5.000000000000000e-01, 7.766482000000000e-02, 7.721033311757158e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.060332958487258e+00, 1.000000000000000e-10, 9.794911023392825e+05, 8.241331833640188e-01, 1.067387161908854e+00, 0.000000000000000e+00, -6.387677909445024e-01, 9.948881223552607e-08, 2.777793988342406e-03, -1.901308134641905e-04, -2.274597910662678e+02, 2.507776945863129e+00, 7.882698721979580e-17
2, 0.000000000000000e+00, 0.000000000000000e+00, 1.064803763801542e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861704547669850e+00, 1.000000000000000e-10, 7.067596974515686e+05, 1.144681819025348e+00, 1.075016691280867e+00, 0.000000000000000e+00, 5.255004195586572e-01, 1.000312637164638e-07, -2.018764966328461e-12, 3.800788293082777e-03, -7.009891537409287e+02, 3.438118715919599e+00, 1.506599430441663e-16
3, 5.000000000000000e-01, -7.766482000000000e-02, 8.733651745341429e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.335594613111958e+00, 1.000000000000000e-10, 8.671632014665853e+05, 9.342378452098485e-01, 1.069698990125380e+00, 0.000000000000000e+00, -2.388554426956129e-01, 9.965338109985856e-08, 3.105361475777490e-03, 2.125517324292948e-04, -3.088378245726171e+02, 2.815382450084690e+00, 1.007152026700618e-16
12, 9.954551090812083e-01, 1.139796998787765e-03, 9.994603516312969e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.684517484301105e+00, 1.000000000000000e-10, 7.609839316646931e+05, 1.073806993680463e+00, 1.074386784756213e+00, 0.000000000000000e+00, 2.680751901429400e-01, 9.998654974597650e-08, 1.578077794028183e-04, -3.938055575851263e-05, 1.133707965109229e+00, 6.861689881518900e-01, 1.313379072168223e-16
13, 9.903582780842387e-01, 2.406068756233480e-03, 9.964780514986231e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.676458743677211e+00, 1.000000000000000e-10, 7.632547732555302e+05, 1.070583497431025e+00, 1.074367363958447e+00, 0.000000000000000e+00, 2.563670941089205e-01, 9.998517095434282e-08, 1.179918170557908e-04, -2.915924415274559e-05, 2.959680087896038e+00, 5.922800638362610e-01, 1.305564154191028e-16
14, 9.848986192925683e-01, 3.748615735746229e-03, 9.952588351698216e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.673209161053030e+00, 1.000000000000000e-10, 7.641931594375934e+05, 1.069283664381401e+00, 1.074377465032952e+00, 0.000000000000000e+00, 2.516459562525192e-01, 9.998588808794640e-08, 1.269483094034194e-04, -3.104276942140549e-05, 3.611864185258602e+00, 6.137830499304825e-01, 1.302365567487977e-16
15, 9.791316777091300e-01, 5.151318129529794e-03, 9.930581050616558e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.667367312508386e+00, 1.000000000000000e-10, 7.659028337674610e+05, 1.066946924963632e+00, 1.074405333912852e+00, 0.000000000000000e+00, 2.431586594193082e-01, 9.998786664347657e-08, 1.546268775567500e-04, -3.739032603548589e-05, 3.972537933334986e+00, 6.764240207091374e-01, 1.296585002166264e-16
16, 9.730890097617939e-01, 6.604297475457873e-03, 9.909103143503362e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.661667074285260e+00, 1.000000000000000e-10, 7.675774533170385e+05, 1.064666829674467e+00, 1.074433088702369e+00, 0.000000000000000e+00, 2.348771003460164e-01, 9.998983707409098e-08, 1.918042057632686e-04, -4.583920465338181e-05, 4.082482570952155e+00, 7.522942015898816e-01, 1.290958104191276e-16
17, 9.667914797640027e-01, 8.100496729753454e-03, 9.883881995557944e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.654928304644576e+00, 1.000000000000000e-10, 7.695436836364623e+05, 1.061971321818295e+00, 1.074447592854276e+00, 0.000000000000000e+00, 2.250867167381481e-01, 9.999086677560962e-08, 2.329120049300714e-04, -5.498680627079198e-05, 4.060822016564355e+00, 8.276655460258626e-01, 1.284382206741693e-16
