"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
0, 1.000000000000000e+00, 0.000000000000000e+00, 1.003433449816837e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.634691970661417e+00, 1.000000000000000e-10, 7.462672532624874e+05, 1.053876788224429e+00, 1.050270736357055e+00, 0.000000000000000e+00, 2.917673670896230e-01, 9.826474943768773e-08, 1.058564925009470e-08, -1.136255079681333e-04, 6.426679064189358e+00, 4.788646464907482e-01, 1.344603444351230e-16
1, 5.000000000000000e-01, 7.766482000000000e-02, 8.589111041593207e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.244514582680519e+00, 1.000000000000000e-10, 8.666862310837529e+05, 8.978058330378509e-01, 1.045283765328194e+00, 0.000000000000000e+00, -5.534279976426628e-01, 9.790632609173335e-08, 3.389198468426152e-03, -2.319794284593367e-04, -1.433431283268348e+02, 2.431360300688509e+00, 9.910288957380367e-17
2, 0.000000000000000e+00, 0.000000000000000e+00, 1.080672676683173e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.839695620968421e+00, 1.000000000000000e-10, 6.854145474074727e+05, 1.135878248344141e+00, 1.051084452167707e+00, 0.000000000000000e+00, 7.358426526647351e-01, 9.832315394226505e-08, -1.724623250093447e-12, 3.246999016417311e-03, -1.706285204438214e+02, 2.667346293283415e+00, 1.576670174316785e-16
3, 5.000000000000000e-01, -7.766482000000000e-02, 9.061549056699971e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.370859527007670e+00, 1.000000000000000e-10, 8.222662913701396e+05, 9.483438107668214e-01, 1.046558160015291e+00, 0.000000000000000e+00, -2.797418113282042e-01, 9.799799848884140e-08, 3.390191909425575e-03, 2.320474344893361e-04, -1.454646712137124e+02, 2.495362387559134e+00, 1.102021232000937e-16
12, 9.954551090812083e-01, 1.139796998787765e-03, 1.001902119763900e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.630776072791606e+00, 1.000000000000000e-10, 7.460855363253548e+05, 1.052310429076566e+00, 1.050312608705275e+00, 0.000000000000000e+00, 2.832848183046994e-01, 9.826775536696019e-08, 1.586252348724964e-04, -3.958454982538044e-05, 1.365715724565851e+01, 5.739518681578543e-01, 1.342878442331003e-16
13, 9.903582780842387e-01, 2.406068756233480e-03, 1.000115484449607e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.626097439332102e+00, 1.000000000000000e-10, 7.474244830904786e+05, 1.050438975692836e+00, 1.050317680333610e+00, 0.000000000000000e+00, 2.731500451603287e-01, 9.826811944469830e-08, 1.938839785966501e-04, -4.791442669733815e-05, 7.800373454822278e+00, 6.337943030665457e-01, 1.338082393186804e-16
14, 9.848986192925683e-01, 3.748615735746229e-03, 9.988678877280744e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.622766225122924e+00, 1.000000000000000e-10, 7.483409616583814e+05, 1.049106490009215e+00, 1.050295542482008e+00, 0.000000000000000e+00, 2.659340277916746e-01, 9.826653022515034e-08, 2.503493788004485e-04, -6.121812946872606e-05, 5.250269547424904e+00, 7.195414635927387e-01, 1.334776506954747e-16
15, 9.791316777091300e-01, 5.151318129529794e-03, 9.967720763255136e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.617158898419585e+00, 1.000000000000000e-10, 7.498899169152329e+05, 1.046863559327963e+00, 1.050253698104291e+00, 0.000000000000000e+00, 2.537875357493617e-01, 9.826352628002412e-08, 3.137947298604305e-04, -7.587870519724231e-05, 4.215575684531880e+00, 8.045016775428768e-01, 1.329224582846427e-16
16, 9.730890097617939e-01, 6.604297475457873e-03, 9.946795765398642e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.611523391999333e+00, 1.000000000000000e-10, 7.514346506961755e+05, 1.044609356759946e+00, 1.050196848711592e+00, 0.000000000000000e+00, 2.415800013021103e-01, 9.825944505380541e-08, 3.840698755628620e-04, -9.178869439836052e-05, 3.727985356941143e+00, 8.888567969410309e-01, 1.323707389839553e-16
17, 9.667914797640027e-01, 8.100496729753454e-03, 9.923187127616853e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.605152245014739e+00, 1.000000000000000e-10, 7.531829402533961e+05, 1.042060897966203e+00, 1.050127226832277e+00, 0.000000000000000e+00, 2.277789352606548e-01, 9.825444674205190e-08, 4.589658128055172e-04, -1.083545016978864e-04, 3.436744203745880e+00, 9.702442688656961e-01, 1.317500267204191e-16
