#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.01871  0.00003  0.00091  0.51709  0.000072  0.000032  0.011355     2.245
   1.02053  0.00003 -0.00091  0.36663  0.000070  0.000031  0.008454     2.222
   1.02241  0.00025 -0.00277  0.20713  0.000073  0.000033  0.004585     2.225
   1.02436  0.00070 -0.00467  0.05412  0.000075  0.000034  0.001154     2.230
   1.02641  0.00141 -0.00659 -0.09895  0.000075  0.000034  0.002110     2.230
   1.02855  0.00238 -0.00851 -0.23631  0.000084  0.000037  0.004401     2.253
   1.03081  0.00360 -0.01041 -0.35927  0.000088  0.000040  0.006481     2.233
   1.03322  0.00508 -0.01231 -0.46650  0.000098  0.000043  0.007332     2.274
   1.03578  0.00682 -0.01419 -0.55705  0.000106  0.000047  0.008092     2.269
   1.03853  0.00883 -0.01606 -0.63533  0.000117  0.000051  0.008240     2.289
   1.04150  0.01114 -0.01793 -0.70165  0.000128  0.000056  0.008212     2.300
   1.04473  0.01376 -0.01982 -0.75926  0.000140  0.000061  0.008052     2.311
   1.04827  0.01674 -0.02173 -0.80759  0.000155  0.000066  0.007599     2.332
   1.05217  0.02013 -0.02367 -0.85072  0.000168  0.000072  0.007360     2.334
   1.05651  0.02399 -0.02566 -0.88810  0.000184  0.000078  0.006867     2.353
   1.06138  0.02840 -0.02771 -0.92087  0.000201  0.000085  0.006447     2.364
   1.06687  0.03346 -0.02983 -0.94984  0.000220  0.000093  0.006004     2.377
   1.07310  0.03929 -0.03203 -0.97558  0.000241  0.000101  0.005576     2.389
   1.08022  0.04603 -0.03431 -0.99858  0.000263  0.000110  0.005168     2.400
   1.08834  0.05380 -0.03667 -1.01875  0.000288  0.000119  0.004752     2.413
   1.09756  0.06271 -0.03908 -1.03645  0.000315  0.000130  0.004375     2.424
   1.10792  0.07278 -0.04150 -1.05183  0.000343  0.000141  0.004027     2.435
   1.11939  0.08399 -0.04389 -1.06465  0.000374  0.000153  0.003690     2.448
   1.13182  0.09622 -0.04618 -1.07525  0.000406  0.000165  0.003395     2.459
   1.14507  0.10929 -0.04832 -1.08405  0.000438  0.000177  0.003143     2.468
   1.15896  0.12303 -0.05029 -1.09075  0.000471  0.000190  0.002893     2.482
   1.17333  0.13730 -0.05207 -1.09619  0.000504  0.000202  0.002697     2.490
   1.18807  0.15196 -0.05365 -1.10029  0.000537  0.000215  0.002510     2.501
   1.20311  0.16693 -0.05503 -1.10324  0.000571  0.000227  0.002339     2.513
   1.21837  0.18214 -0.05622 -1.10533  0.000604  0.000239  0.002190     2.523
   1.23381  0.19755 -0.05723 -1.10653  0.000638  0.000251  0.002047     2.536
   1.24941  0.21313 -0.05807 -1.10733  0.000670  0.000263  0.001933     2.545
   1.26514  0.22884 -0.05875 -1.10737  0.000704  0.000275  0.001812     2.558
   1.28097  0.24467 -0.05927 -1.10710  0.000737  0.000287  0.001711     2.568
   1.29691  0.26060 -0.05965 -1.10631  0.000771  0.000299  0.001611     2.581
   1.31293  0.27662 -0.05989 -1.10529  0.000804  0.000310  0.001524     2.592
   1.32903  0.29272 -0.06001 -1.10398  0.000838  0.000322  0.001442     2.604
   1.34519  0.30888 -0.06000 -1.10230  0.000873  0.000333  0.001359     2.618
   1.36143  0.32511 -0.05988 -1.10056  0.000906  0.000345  0.001290     2.629
   1.37771  0.34140 -0.05965 -1.09851  0.000941  0.000356  0.001219     2.644
   1.39406  0.35774 -0.05932 -1.09636  0.000976  0.000367  0.001156     2.656
   1.41045  0.37412 -0.05889 -1.09411  0.001011  0.000379  0.001097     2.669
   1.42688  0.39055 -0.05837 -1.09168  0.001047  0.000390  0.001038     2.684
   1.44336  0.40701 -0.05776 -1.08916  0.001083  0.000401  0.000984     2.698
   1.45987  0.42351 -0.05707 -1.08657  0.001119  0.000413  0.000933     2.712
   1.47642  0.44004 -0.05630 -1.08390  0.001156  0.000424  0.000885     2.727
   1.49300  0.45660 -0.05546 -1.08112  0.001194  0.000435  0.000836     2.744
   1.50961  0.47319 -0.05455 -1.07837  0.001231  0.000446  0.000794     2.758
   1.52625  0.48980 -0.05357 -1.07555  0.001269  0.000457  0.000753     2.774
   1.54292  0.50644 -0.05253 -1.07265  0.001309  0.000469  0.000711     2.792
   1.55961  0.52309 -0.05143 -1.06976  0.001348  0.000480  0.000673     2.809
   1.57632  0.53976 -0.05026 -1.06677  0.001390  0.000491  0.000633     2.829
   1.59305  0.55645 -0.04905 -1.06381  0.001431  0.000502  0.000598     2.848
   1.60980  0.57315 -0.04778 -1.06083  0.001473  0.000514  0.000563     2.868
   1.62657  0.58987 -0.04646 -1.05780  0.001517  0.000525  0.000529     2.890
   1.64335  0.60659 -0.04509 -1.05473  0.001563  0.000536  0.000494     2.914
   1.66015  0.62333 -0.04367 -1.05166  0.001610  0.000548  0.000461     2.939
   1.67696  0.64008 -0.04221 -1.04856  0.001659  0.000559  0.000428     2.966
   1.69378  0.65683 -0.04071 -1.04545  0.001709  0.000571  0.000396     2.995
   1.71061  0.67359 -0.03916 -1.04231  0.001763  0.000582  0.000363     3.028
   1.72745  0.69035 -0.03757 -1.03917  0.001819  0.000594  0.000331     3.062
   1.74429  0.70712 -0.03594 -1.03599  0.001880  0.000606  0.000298     3.103
   1.76115  0.72389 -0.03428 -1.03283  0.001943  0.000618  0.000266     3.145
   1.77800  0.74066 -0.03257 -1.02968  0.002010  0.000629  0.000234     3.193
   1.79486  0.75742 -0.03083 -1.02657  0.002080  0.000641  0.000203     3.243
   1.81172  0.77419 -0.02905 -1.02351  0.002152  0.000653  0.000174     3.296
   1.82858  0.79095 -0.02723 -1.02054  0.002225  0.000664  0.000148     3.349
   1.84544  0.80771 -0.02537 -1.01766  0.002297  0.000676  0.000125     3.400
   1.86230  0.82446 -0.02348 -1.01498  0.002354  0.000686  0.000112     3.429
   1.87915  0.84120 -0.02155 -1.01247  0.002396  0.000697  0.000107     3.439
   1.89599  0.85793 -0.01959 -1.01040  0.002386  0.000705  0.000125     3.383
   1.91281  0.87462 -0.01759 -1.00255  0.002259  0.000736  0.000255     3.068
   1.92958  0.89128 -0.01556 -0.98313  0.001991  0.000812  0.000759     2.451
   1.94627  0.90784 -0.01350 -0.96867  0.001764  0.000875  0.001511     2.016
   1.96279  0.92422 -0.01142 -0.95891  0.001645  0.000927  0.002184     1.775
   1.97896  0.94026 -0.00934 -0.95006  0.001615  0.000981  0.002615     1.646
   1.99450  0.95567 -0.00731 -0.94016  0.001647  0.001043  0.002817     1.580
   2.00895  0.96999 -0.00539 -0.92810  0.001728  0.001116  0.002839     1.549
   2.02185  0.98277 -0.00365 -0.91346  0.001854  0.001202  0.002728     1.543
   2.03290  0.99372 -0.00214 -0.89534  0.002039  0.001309  0.002503     1.558
   2.03924  1.00000 -0.00126 -0.88670  0.002133  0.001365  0.002410     1.563
   2.03924  1.00010  0.00000  0.88670  0.009525  0.004284  0.000000     2.223
   2.04558  1.00644  0.00000  0.86070  0.008626  0.004827  0.000000     1.787
   2.05301  1.01387  0.00002  0.87416  0.007677  0.004555  0.000000     1.685
   2.06172  1.02258  0.00005  0.88738  0.006905  0.004312  0.000000     1.601
   2.07194  1.03279  0.00010  0.89991  0.006278  0.004102  0.000000     1.530
   2.08391  1.04476  0.00016  0.91148  0.005763  0.003923  0.000000     1.469
   2.09794  1.05880  0.00025  0.92198  0.005337  0.003771  0.000000     1.415
   2.11440  1.07525  0.00036  0.93141  0.004979  0.003643  0.000000     1.367
   2.13369  1.09454  0.00052  0.93986  0.004675  0.003535  0.000000     1.322
   2.15630  1.11716  0.00073  0.94744  0.004413  0.003442  0.000000     1.282
   2.18282  1.14367  0.00100  0.95423  0.004186  0.003363  0.000000     1.245
   2.21390  1.17475  0.00134  0.96033  0.003988  0.003295  0.000000     1.210
   2.25033  1.21118  0.00179  0.96581  0.003816  0.003235  0.000000     1.179
   2.29305  1.25389  0.00236  0.97071  0.003667  0.003184  0.000000     1.152
   2.34313  1.30397  0.00309  0.97509  0.003538  0.003139  0.000000     1.127
   2.40184  1.36267  0.00400  0.97897  0.003429  0.003100  0.000000     1.106
   2.47066  1.43148  0.00516  0.98239  0.003337  0.003067  0.000000     1.088
   2.55135  1.51216  0.00661  0.98538  0.003261  0.003039  0.000000     1.073
   2.64594  1.60673  0.00842  0.98797  0.003197  0.003014  0.000000     1.061
   2.75683  1.71760  0.01068  0.99018  0.003146  0.002994  0.000000     1.051
   2.88683  1.84757  0.01348  0.99205  0.003104  0.002977  0.000000     1.043
   3.03924  1.99994  0.01693  0.99371  0.003069  0.002961  0.000000     1.036
