"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
0, 1.000000000000000e+00, 0.000000000000000e+00, 1.004263714456126e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.698284823456917e+00, 1.000000000000000e-10, 7.604528562749551e+05, 1.079313929342596e+00, 1.074731580765233e+00, 0.000000000000000e+00, 2.880769914779543e-01, 1.000110267158491e-07, 1.484976366898567e-08, -1.593961693070127e-04, -1.421625994215014e+00, 6.807399146785167e-01, 1.320612772638483e-16
1, 5.000000000000000e-01, 7.766482000000000e-02, 7.741111801078902e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.065258359720852e+00, 1.000000000000000e-10, 9.767033404358954e+05, 8.261033438573760e-01, 1.067163690546673e+00, 0.000000000000000e+00, -6.316119494377286e-01, 9.947289503461471e-08, 2.929751302690311e-03, -2.005317891701108e-04, -2.603024441854840e+02, 2.579215985591765e+00, 7.925755358551290e-17
2, 0.000000000000000e+00, 0.000000000000000e+00, 1.103046023939282e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.967390524485398e+00, 1.000000000000000e-10, 6.832209998727029e+05, 1.186956209750037e+00, 1.076071336997425e+00, 0.000000000000000e+00, 6.790456971344037e-01, 1.001060990322175e-07, -1.680226330631313e-12, 3.163411627330821e-03, -4.484762843693197e+02, 3.190062025524193e+00, 1.614479092634112e-16
3, 5.000000000000000e-01, -7.766482000000000e-02, 8.641882793896357e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.310534735308591e+00, 1.000000000000000e-10, 8.762130647332034e+05, 9.242138940888684e-01, 1.069458954872228e+00, 0.000000000000000e+00, -2.752635453528490e-01, 9.963630216814864e-08, 3.121351329338445e-03, 2.136461850726288e-04, -3.120037298154211e+02, 2.808234261821227e+00, 9.862764205414721e-17
12, 9.954551090812083e-01, 1.139796998787765e-03, 1.003004134452747e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.694908315760011e+00, 1.000000000000000e-10, 7.584827244727938e+05, 1.077963326263884e+00, 1.074734678787776e+00, 0.000000000000000e+00, 2.831714512428261e-01, 1.000112466260970e-07, 1.410647501852534e-04, -3.520237266662796e-05, 5.304482413333838e+00, 6.497367798072201e-01, 1.322382345183983e-16
13, 9.903582780842387e-01, 2.406068756233480e-03, 1.000228215980334e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.687479862978920e+00, 1.000000000000000e-10, 7.605992936492638e+05, 1.074991945151559e+00, 1.074746670786474e+00, 0.000000000000000e+00, 2.723790653596891e-01, 1.000120978640323e-07, 1.289239041986538e-04, -3.186088402957794e-05, 4.560575349718898e+00, 6.201069984210944e-01, 1.315052813657571e-16
14, 9.848986192925683e-01, 3.748615735746229e-03, 9.988856127248650e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.683924656101881e+00, 1.000000000000000e-10, 7.616301338301157e+05, 1.073569862400797e+00, 1.074767569704203e+00, 0.000000000000000e+00, 2.672139030248042e-01, 1.000135813379985e-07, 1.523124940153054e-04, -3.724509332921430e-05, 4.284003729838498e+00, 6.733467718316380e-01, 1.311510127064261e-16
15, 9.791316777091300e-01, 5.151318129529794e-03, 9.964518919199928e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.677428551538622e+00, 1.000000000000000e-10, 7.635001671189986e+05, 1.070971420575590e+00, 1.074784873469417e+00, 0.000000000000000e+00, 2.577760740111562e-01, 1.000148096054840e-07, 1.884175831842363e-04, -4.556125673229920e-05, 4.304252362251291e+00, 7.477580042729461e-01, 1.305110267065854e-16
16, 9.730890097617939e-01, 6.604297475457873e-03, 9.940531766820266e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.670986395256060e+00, 1.000000000000000e-10, 7.653423486812132e+05, 1.068394558062662e+00, 1.074786121230228e+00, 0.000000000000000e+00, 2.484166234539870e-01, 1.000148981745046e-07, 2.325423966852002e-04, -5.557520738308096e-05, 4.292370518413273e+00, 8.294467722756930e-01, 1.298834679240517e-16
17, 9.667914797640027e-01, 8.100496729753454e-03, 9.912632230610462e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.663436974251375e+00, 1.000000000000000e-10, 7.674842013465002e+05, 1.065374789660899e+00, 1.074764769715752e+00, 0.000000000000000e+00, 2.374484895669085e-01, 1.000133825864245e-07, 2.811001936934421e-04, -6.636326838517448e-05, 4.243659684688081e+00, 9.103794597170785e-01, 1.291574757668501e-16
18, 9.602541002872421e-01, 9.634414712189477e-03, 9.881553754691697e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.654978948571052e+00, 1.000000000000000e-10, 7.698734594460515e+05, 1.061991579388894e+00, 1.074721249059307e+00, 0.000000000000000e+00, 2.251602944822010e-01, 1.000102933270657e-07, 3.342269113159997e-04, -7.790977521484631e-05, 4.067303141874739e+00, 9.908325751526125e-01, 1.283529588763642e-16
19, 9.534882440371402e-01, 1.120153997318649e-02, 9.850501018821595e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.646482562280926e+00, 1.000000000000000e-10, 7.722646620812668e+05, 1.058593024872968e+00, 1.074659068457827e+00, 0.000000000000000e+00, 2.128163674010849e-01, 1.000058794082362e-07, 3.896699140484777e-04, -8.964772834466594e-05, 3.780632562302070e+00, 1.067870190178170e+00, 1.275534323263467e-16
20, 9.465028487157313e-01, 1.279803710344393e-02, 9.813283117656690e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.636288110034551e+00, 1.000000000000000e-10, 7.751485187556260e+05, 1.054515243974567e+00, 1.074579456570671e+00, 0.000000000000000e+00, 1.980054147367230e-01, 1.000002279383890e-07, 4.486453530153639e-04, -1.018239531037354e-04, 3.344864403572569e+00, 1.143346572650053e+00, 1.265987436742876e-16
