"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
0, 1.000000000000000e+00, 1.387779000000000e-17, 9.943628221331400e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.629238393526217e+00, 1.000000000000000e-10, 8.825103093091005e+06, 1.051695357370712e+00, 1.057657561165230e+00, 0.000000000000000e+00, 2.431073666264485e-01, 9.879482369130931e-08, 4.159272233728719e-09, -2.926767523062161e-04, -4.121928741251818e-01, 2.389891457425080e-01, 1.126743047169855e-17
1, 5.000000000000000e-01, 5.046727000000000e-02, 8.623588992751630e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.270622262313295e+00, 1.000000000000000e-10, 1.014089214766419e+07, 9.082489048908238e-01, 1.053214509242304e+00, 0.000000000000000e+00, -4.314771819281739e-01, 9.847662390839905e-08, 2.957044669534990e-03, -7.751374539245756e-05, -5.566608589811066e+01, 7.098396222943029e-01, 8.503781759095616e-18
2, 0.000000000000000e+00, 0.000000000000000e+00, 1.008431020022133e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.659290595474110e+00, 1.000000000000000e-10, 8.673881645209983e+06, 1.063716238149307e+00, 1.054823004280412e+00, 0.000000000000000e+00, 2.996378718642419e-01, 9.859189573171814e-08, -1.062916837513741e-12, 7.005400458168097e-03, -3.346781275869665e+02, 1.180326213175446e+00, 1.162606406828702e-17
3, 5.000000000000000e-01, -5.046727000000000e-02, 9.399910425109550e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.478906023904536e+00, 1.000000000000000e-10, 9.314472622067381e+06, 9.915624095242143e-01, 1.054863679206452e+00, 0.000000000000000e+00, -3.967939299715152e-02, 9.859480956213034e-08, 3.247990367358865e-03, 8.514037718822671e-05, -6.316363940936537e+01, 7.757746653586526e-01, 1.009171839440944e-17
12, 9.987123992825067e-01, 2.908011146165702e-04, 9.940874548058931e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.628845018233774e+00, 1.000000000000000e-10, 8.826582179925868e+06, 1.051538007253746e+00, 1.057792251748183e+00, 0.000000000000000e+00, 2.423673974199361e-01, 9.880445966628680e-08, 3.291698828046065e-05, -7.417039644127711e-06, 2.412280946225545e+01, 8.112762161174020e-02, 1.126242415776581e-17
13, 9.973436639252934e-01, 5.985404802638111e-04, 9.937423560461049e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.628134016914901e+00, 1.000000000000000e-10, 8.830391788470916e+06, 1.051253606726210e+00, 1.057873401823116e+00, 0.000000000000000e+00, 2.410299492073137e-01, 9.881026497996042e-08, 4.983340513476854e-05, -1.117734693964838e-05, 7.029042199951543e+00, 9.978612274949673e-02, 1.125365803770115e-17
14, 9.959206354389398e-01, 9.169777318620465e-04, 9.931925717755485e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.626773635489445e+00, 1.000000000000000e-10, 8.835526931730064e+06, 1.050709454156050e+00, 1.057911108092238e+00, 0.000000000000000e+00, 2.384709670258749e-01, 9.881296233676515e-08, 6.294447527786157e-05, -1.405039792365266e-05, 2.104749471444767e+00, 1.121003314090448e-01, 1.124089552361189e-17
15, 9.944525285386706e-01, 1.243896604909918e-03, 9.926978046568424e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.625485688957458e+00, 1.000000000000000e-10, 8.839978145017631e+06, 1.050194275543275e+00, 1.057919409730445e+00, 0.000000000000000e+00, 2.360482404549806e-01, 9.881355619669183e-08, 7.821684217062944e-05, -1.737285084470749e-05, 6.535794618934925e-01, 1.249155194489796e-01, 1.122963875525732e-17
16, 9.929446733835627e-01, 1.577972774269844e-03, 9.921680807048671e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.624060691146290e+00, 1.000000000000000e-10, 8.844634093959078e+06, 1.049624276418829e+00, 1.057909740125023e+00, 0.000000000000000e+00, 2.333677098779353e-01, 9.881286447864307e-08, 9.445058137701002e-05, -2.087146100405992e-05, 2.110509225774616e-01, 1.372156735483857e-01, 1.121773838313578e-17
17, 9.914006371120136e-01, 1.918296190083860e-03, 9.916209246588387e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.622565302653179e+00, 1.000000000000000e-10, 8.849388644532533e+06, 1.049026121021607e+00, 1.057890263239976e+00, 0.000000000000000e+00, 2.305547690095828e-01, 9.881147118459607e-08, 1.115569369336539e-04, -2.452251705627748e-05, 6.182698807585722e-02, 1.490675904810606e-01, 1.120552872179608e-17
