"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
0, 1.000000000000000e+00, 0.000000000000000e+00, 1.008557846256849e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.688014795881661e+00, 1.000000000000000e-10, 7.498069492971539e+05, 1.075205918312322e+00, 1.066082547771385e+00, 0.000000000000000e+00, 3.109953710857209e-01, 9.939621213682764e-08, 4.635135794693493e-09, -4.975317495703666e-05, 1.773581840829111e+01, 3.594064346174697e-01, 1.345090054541493e-16
1, 5.000000000000000e-01, 7.766482000000000e-02, 8.247522833276256e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.184325218090772e+00, 1.000000000000000e-10, 9.116403393525969e+05, 8.737300872033182e-01, 1.059384866057093e+00, 0.000000000000000e+00, -5.221578204003100e-01, 9.891815630915106e-08, 3.249898016939875e-03, -2.224447731651839e-04, -2.493768087270342e+02, 2.642558670913561e+00, 9.046904194958127e-17
2, 0.000000000000000e+00, 0.000000000000000e+00, 1.167144707266502e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.118191510798416e+00, 1.000000000000000e-10, 6.430728342772460e+05, 1.247276604272680e+00, 1.068656351271001e+00, 0.000000000000000e+00, 1.022550898018880e+00, 9.957952925905016e-08, -6.866098001587958e-13, 1.292700504287411e-03, 1.838051466338727e+01, 1.976308953267913e+00, 1.814949480681992e-16
3, 5.000000000000000e-01, -7.766482000000000e-02, 8.568138680582084e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.271239642512033e+00, 1.000000000000000e-10, 8.781114066933577e+05, 9.084958569705404e-01, 1.060318805331033e+00, 0.000000000000000e+00, -3.783926259519557e-01, 9.898490603970643e-08, 3.259268705514965e-03, 2.230861737718775e-04, -2.532796820589211e+02, 2.695494026230747e+00, 9.757462024167822e-17
12, 9.954551090812083e-01, 1.139796998787765e-03, 1.005887960794888e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.680922206736335e+00, 1.000000000000000e-10, 7.516653053718118e+05, 1.072368882654298e+00, 1.066091776073028e+00, 0.000000000000000e+00, 2.992635157071805e-01, 9.939686980260644e-08, 1.563351924308182e-04, -3.901307518449046e-05, 1.478769881722432e+01, 6.459289541855688e-01, 1.338212589737393e-16
13, 9.903582780842387e-01, 2.406068756233480e-03, 1.003857527281354e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.675420215336771e+00, 1.000000000000000e-10, 7.531719012919748e+05, 1.070168086094553e+00, 1.066055746967184e+00, 0.000000000000000e+00, 2.901626688836692e-01, 9.939430213015357e-08, 2.413837805800706e-04, -5.965302313395988e-05, 9.182198616114695e+00, 8.016043930116045e-01, 1.332839864564015e-16
14, 9.848986192925683e-01, 3.748615735746229e-03, 1.001649232272747e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.669363773804078e+00, 1.000000000000000e-10, 7.547911367252234e+05, 1.067745509481565e+00, 1.065987448579026e+00, 0.000000000000000e+00, 2.801447058077968e-01, 9.938943461842954e-08, 3.228830603938399e-04, -7.895484737832779e-05, 6.533975811992572e+00, 9.258507005909429e-01, 1.327054844340823e-16
15, 9.791316777091300e-01, 5.151318129529794e-03, 9.985163221032691e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.660786179021893e+00, 1.000000000000000e-10, 7.571073642069206e+05, 1.064314471568816e+00, 1.065895917782246e+00, 0.000000000000000e+00, 2.659565018362268e-01, 9.938291113220350e-08, 4.011951558269389e-04, -9.701300263740581e-05, 5.280604101069907e+00, 1.030169793428675e+00, 1.318856964535486e-16
16, 9.730890097617939e-01, 6.604297475457873e-03, 9.953913026360414e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.652190613817163e+00, 1.000000000000000e-10, 7.594227130402509e+05, 1.060876245487050e+00, 1.065788140480621e+00, 0.000000000000000e+00, 2.517385729794161e-01, 9.937522939032128e-08, 4.808892571177721e-04, -1.149275167607183e-04, 4.343146637740192e+00, 1.125815574233718e+00, 1.310720999883561e-16
17, 9.667914797640027e-01, 8.100496729753454e-03, 9.919485323988319e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.642718131469163e+00, 1.000000000000000e-10, 7.619895697844063e+05, 1.057087252547987e+00, 1.065667439410017e+00, 0.000000000000000e+00, 2.360701350217627e-01, 9.936662606516235e-08, 5.623684795117508e-04, -1.327662206376895e-04, 3.387370713895500e+00, 1.215062474414277e+00, 1.301787537363072e-16
