"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -3.874644975,      -15.57225821,       -15.6827576,      -3.308084745,      0.3791316547,       6.366969048,      0.1290315554,     0.07555853735,                 0,                 0,                 0,     0.02037801369,      0.1255575449,     0.08120060212,                 0,      0.5855818533,    0.001443344498
          0,           0,           1,      -3.797045982,      -3.764246177,      -3.651044025,      -3.245978446,     -0.2209730088,       5.767033525,      0.1950553233,       0.152094023,                 0,                 0,                 0,     0.03944608438,       0.188125882,      0.1605858758,                 0,      0.7797481267,    0.001443344498
          0,           0,           2,      -3.696892719,      -3.735948862,      -3.527533053,      -3.151475164,     -0.8195265888,       5.168781708,      0.2633245041,      0.2240551396,                 0,                 0,                 0,     0.05668664993,      0.2531400773,       0.235500746,                 0,       0.850870831,    0.001443344498
          0,           0,           3,      -3.674175421,      -3.729862111,      -3.518834165,      -3.131732301,      -1.415422817,       4.573413799,       0.328571734,      0.2867238598,                 0,                 0,                 0,     0.07104954659,      0.3155469524,      0.3009984668,                 0,      0.8726370229,    0.001443344498
          0,           0,           4,      -3.678908914,      -3.758327558,      -3.557109773,       -3.13795656,      -2.007033831,       3.982700049,      0.3856069196,      0.3359501533,                 0,                 0,                 0,     0.08177500828,      0.3703453607,      0.3527031554,                 0,        0.87122439,    0.001443344498
          0,           0,           5,      -3.691259878,      -3.800154191,      -3.619458404,      -3.150413739,      -2.592310837,       3.398935428,       0.428784542,      0.3686626856,                 0,                 0,                 0,     0.08845920214,      0.4120313894,      0.3872963896,                 0,       0.859785392,    0.001443344498
          0,           0,           6,      -3.703878102,      -3.844840164,       -3.69269362,      -3.161961252,      -3.167159085,       2.827038201,      0.4532714722,      0.3837489175,                 0,                 0,                 0,     0.09118925212,      0.4358259414,      0.4034526093,                 0,      0.8466204934,    0.001443344498
          0,           0,           7,      -3.716143441,       -3.88904128,      -3.764514447,      -3.172367049,      -3.717994523,       2.283199559,      0.4571151198,      0.3827415956,                 0,                 0,                 0,     0.09058195637,      0.4397104409,      0.4026165544,                 0,      0.8372980436,    0.001443344498
          0,           0,           8,      -3.731003421,      -3.932995997,      -3.822272899,      -3.185153088,      -4.228144893,       1.793574382,      0.4429049814,       0.369886784,                 0,                 0,                 0,     0.08771357039,      0.4260837367,      0.3891448379,                 0,      0.8351380082,    0.001443344498
          0,           0,           9,      -3.752329303,      -3.974901231,      -3.859131362,      -3.204845458,      -4.685374541,       1.395528716,      0.4174831055,      0.3512294268,                 0,                 0,                 0,     0.08387682926,      0.4015133618,      0.3693795797,                 0,      0.8413021321,    0.001443344498
