"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy"
250, 9.870760878506866e-01, 1.441221140464373e-03, 1.069843921764289e+00, 5.103015225246227e-01, -6.315299357983711e-02, 2.871849945078924e+00, 1.099312965528096e+00, 1.027545180342951e+00, 4.007213575158202e-01, 4.690104629426011e-01, -2.050535385933472e-08, 7.698349998586096e-07, -1.035202947044511e-07, 3.366245295843839e-07
251, 9.861541685958001e-01, 1.556055248965030e-03, 1.069533062182516e+00, 5.111176248185887e-01, -6.407588416254906e-02, 2.871163393633663e+00, 1.098846144225978e+00, 1.027407364091808e+00, 4.015849946481440e-01, 4.668058759196120e-01, -2.051033720640305e-08, 7.036635448764983e-07, -9.847100319870794e-08, 3.094317824192672e-07
252, 9.852143806805663e-01, 1.674715788579704e-03, 1.069131946245831e+00, 5.119091386585557e-01, -6.506336265915154e-02, 2.870238353642470e+00, 1.098282180726416e+00, 1.027265329207442e+00, 4.024723646197736e-01, 4.641425299948821e-01, -2.051033720640305e-08, 7.036635448764983e-07, -9.847100319870794e-08, 3.094317824192672e-07
253, 9.842569674563316e-01, 1.797255990694797e-03, 1.068770728982261e+00, 5.127920916450556e-01, -6.608867137742980e-02, 2.869432282389827e+00, 1.097748443817876e+00, 1.027113125434497e+00, 4.034231476325223e-01, 4.616219306629326e-01, -1.956148731885321e-08, 6.893986935763152e-07, -1.008507111155410e-07, 3.080391550724926e-07
254, 9.832821691652178e-01, 1.923726184183738e-03, 1.068421833373954e+00, 5.135194892882999e-01, -6.709943822522881e-02, 2.868637010316552e+00, 1.097249053530510e+00, 1.026981122302156e+00, 4.042454208279320e-01, 4.592635349728945e-01, -1.956148731885321e-08, 6.893986935763152e-07, -1.008507111155410e-07, 3.080391550724926e-07
255, 9.822902090393828e-01, 2.054179529290128e-03, 1.068158452237518e+00, 5.141441465701878e-01, -6.803991884880736e-02, 2.868050834111591e+00, 1.096858211162544e+00, 1.026868447153049e+00, 4.049465948687339e-01, 4.574177622788373e-01, -1.837279817173965e-08, 6.576198059438099e-07, -9.729815134140729e-08, 2.987197804671382e-07
256, 9.812812867749320e-01, 2.188670167018158e-03, 1.067752369365428e+00, 5.148555621538898e-01, -6.908875589984655e-02, 2.867104906218958e+00, 1.096296627480186e+00, 1.026733031865546e+00, 4.057863976253903e-01, 4.547656551602655e-01, -1.837279817173965e-08, 6.576198059438099e-07, -9.729815134140729e-08, 2.987197804671382e-07
257, 9.802556004544745e-01, 2.327252631172002e-03, 1.067444671715664e+00, 5.156530429293498e-01, -7.017512970197758e-02, 2.866429872066323e+00, 1.095829719896630e+00, 1.026591587304796e+00, 4.066625851653903e-01, 4.525606606688540e-01, -1.632042745391971e-08, 6.086647419412117e-07, -9.433008514581065e-08, 2.833146854896995e-07
258, 9.792133378992413e-01, 2.469981440933436e-03, 1.067150981396860e+00, 5.162280003845655e-01, -7.117012414245713e-02, 2.865760326553618e+00, 1.095410388370272e+00, 1.026481170392986e+00, 4.073472133904558e-01, 4.505803464947929e-01, -1.632042745391971e-08, 6.086647419412117e-07, -9.433008514581065e-08, 2.833146854896995e-07
259, 9.781546636388906e-01, 2.616911778158041e-03, 1.066822567223672e+00, 5.167919677660413e-01, -7.220163867867306e-02, 2.864998298843001e+00, 1.094952965074716e+00, 1.026368394065989e+00, 4.080427053211173e-01, 4.484201420293558e-01, -1.754249212559955e-08, 6.073671201534125e-07, -9.325912289637195e-08, 2.790610493796919e-07
260, 9.770797303109154e-01, 2.768103400217057e-03, 1.066516951172833e+00, 5.173835179452280e-01, -7.325514945747427e-02, 2.864301006093750e+00, 1.094515961427323e+00, 1.026252756905270e+00, 4.087556317874221e-01, 4.463563703769672e-01, -1.754249212559955e-08, 6.073671201534125e-07, -9.325912289637195e-08, 2.790610493796919e-07
261, 9.759887069099491e-01, 2.923607856674590e-03, 1.066211707616098e+00, 5.180086371059007e-01, -7.431622974551305e-02, 2.863610078260571e+00, 1.094074148913384e+00, 1.026132184723034e+00, 4.094981006881340e-01, 4.442698886110228e-01, -2.062007342651384e-08, 5.636175433032520e-07, -8.964387146481734e-08, 2.514242050111193e-07
262, 9.748817317801527e-01, 3.083483260063158e-03, 1.065909430418655e+00, 5.186272617303392e-01, -7.539960731396687e-02, 2.862926676140310e+00, 1.093635459385680e+00, 1.026011618037881e+00, 4.102387897946382e-01, 4.421981553042734e-01, -2.062007342651384e-08, 5.636175433032520e-07, -8.964387146481734e-08, 2.514242050111193e-07
263, 9.737589396849713e-01, 3.247786864570505e-03, 1.065605927100483e+00, 5.192290238256291e-01, -7.648010947584247e-02, 2.862238781453819e+00, 1.093197604504411e+00, 1.025892946634602e+00, 4.109681199609726e-01, 4.401303636571968e-01, -1.930956372575565e-08, 5.483801248651332e-07, -8.984073268658577e-08, 2.488746315698620e-07
264, 9.726204596064858e-01, 3.416575837332013e-03, 1.065297622910859e+00, 5.198179823419048e-01, -7.757337322294799e-02, 2.861536790107073e+00, 1.092755337582110e+00, 1.025774688763713e+00, 4.116927033091967e-01, 4.380417359249565e-01, -1.930956372575565e-08, 5.483801248651332e-07, -8.984073268658577e-08, 2.488746315698620e-07
265, 9.714664246101847e-01, 3.589903315607935e-03, 1.065014774813522e+00, 5.204107070140729e-01, -7.867161711152425e-02, 2.860902721539804e+00, 1.092339927245210e+00, 1.025657064181549e+00, 4.124127677258586e-01, 4.360799397648649e-01, -1.895227619286288e-08, 5.481648621685764e-07, -9.130644157417933e-08, 2.517987645056508e-07
266, 9.702969562902515e-01, 3.767826223949007e-03, 1.064674266421909e+00, 5.209650419598653e-01, -7.977202592563293e-02, 2.860112979815865e+00, 1.091866199754772e+00, 1.025540143300587e+00, 4.131275110905586e-01, 4.338427379210016e-01, -1.895227619286288e-08, 5.481648621685764e-07, -9.130644157417933e-08, 2.517987645056508e-07
267, 9.691121605295301e-01, 3.950400252669598e-03, 1.064409404534554e+00, 5.215815205456391e-01, -8.089278314228118e-02, 2.859530877981576e+00, 1.091465777824834e+00, 1.025419141521125e+00, 4.138662877869771e-01, 4.319517252648575e-01, -1.667415228112645e-08, 5.286588271591341e-07, -9.093487338129869e-08, 2.493935276071113e-07
268, 9.679121477467939e-01, 4.137685033994378e-03, 1.064067016842368e+00, 5.220656360596987e-01, -8.200660802550007e-02, 2.858727320728527e+00, 1.090998442819391e+00, 1.025309896416997e+00, 4.145314517076707e-01, 4.297447122521421e-01, -1.667415228112645e-08, 5.286588271591341e-07, -9.093487338129869e-08, 2.493935276071113e-07
269, 9.666970288903600e-01, 4.329735055166215e-03, 1.063761438642504e+00, 5.226339567767290e-01, -8.313758473875235e-02, 2.858032850160842e+00, 1.090558832322239e+00, 1.025191168532987e+00, 4.152535828838987e-01, 4.276686296209648e-01, -1.854711362270223e-08, 4.923697273229166e-07, -8.634080053693260e-08, 2.272823365068177e-07
270, 9.654669011990646e-01, 4.526606894593069e-03, 1.063480064564067e+00, 5.231354348685833e-01, -8.423653953593016e-02, 2.857392354681400e+00, 1.090155486130515e+00, 1.025083142087279e+00, 4.159103328742880e-01, 4.257638069918083e-01, -1.854711362270223e-08, 4.923697273229166e-07, -8.634080053693260e-08, 2.272823365068177e-07
271, 9.642218720966478e-01, 4.728351384713128e-03, 1.063149330796411e+00, 5.236759001220652e-01, -8.536741409496398e-02, 2.856628917153781e+00, 1.089691171627660e+00, 1.024965298911835e+00, 4.166245685227644e-01, 4.235710584541208e-01, -2.183556335744186e-08, 4.607171881776395e-07, -8.266289383551673e-08, 2.038059823128435e-07
272, 9.629620287928378e-01, 4.935024589478677e-03, 1.062842830018869e+00, 5.243016044186802e-01, -8.653384435830420e-02, 2.855942177953888e+00, 1.089240081688340e+00, 1.024836458339755e+00, 4.174042173609919e-01, 4.214407635812971e-01, -2.183556335744186e-08, 4.607171881776395e-07, -8.266289383551673e-08, 2.038059823128435e-07
273, 9.616874567530896e-01, 5.146679986554373e-03, 1.062525794995685e+00, 5.249229226426412e-01, -8.769852011745073e-02, 2.855228204220384e+00, 1.088777732693772e+00, 1.024707106238483e+00, 4.181866515378244e-01, 4.192572972551206e-01, -1.585027287198670e-08, 4.919833447303290e-07, -8.978534747627887e-08, 2.372497878155855e-07
274, 9.603982448628438e-01, 5.363368821681816e-03, 1.062208491392647e+00, 5.254489618083558e-01, -8.884100958917623e-02, 2.854500152159973e+00, 1.088328574098153e+00, 1.024590353887362e+00, 4.188920309174348e-01, 4.171361232498361e-01, -1.585027287198670e-08, 4.919833447303290e-07, -8.978534747627887e-08, 2.372497878155855e-07
275, 9.590944840569284e-01, 5.585144332155437e-03, 1.061872088905895e+00, 5.260394547341335e-01, -9.002389088793795e-02, 2.853732384949541e+00, 1.087847734024736e+00, 1.024462122500654e+00, 4.196647034758819e-01, 4.148653318759655e-01, -1.383294190304696e-08, 4.625128563473524e-07, -8.694890440974490e-08, 2.283233762057080e-07
276, 9.577762541070135e-01, 5.812062307913913e-03, 1.061502097994591e+00, 5.266372262238145e-01, -9.122659903525467e-02, 2.852879130456152e+00, 1.087328101394206e+00, 1.024329677207805e+00, 4.204620958503040e-01, 4.124113407046340e-01, -1.383294190304696e-08, 4.625128563473524e-07, -8.694890440974490e-08, 2.283233762057080e-07
