"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy"
243, 9.938069299708308e-01, 3.015837645321642e-03, 1.033521508267724e+00, 1.062636537145573e-01, -5.089431272312672e-02, 2.759792100551193e+00, 1.101230452940236e+00, 1.065512854963221e+00, 9.333965454851183e-02, 4.298898120444898e-01, 2.968414403170527e-08, 3.183976349241391e-07, -1.643680964530381e-07, 8.569948617420664e-08
244, 9.931127070553899e-01, 3.347682823820996e-03, 1.033205102051167e+00, 1.106710927249710e-01, -5.277885145589398e-02, 2.759107531982326e+00, 1.100732903677887e+00, 1.065357595982309e+00, 9.717054678390513e-02, 4.277768968824822e-01, 2.968414403170527e-08, 3.183976349241391e-07, -1.643680964530381e-07, 8.569948617420664e-08
245, 9.924004242251139e-01, 3.686871631112929e-03, 1.032700678809985e+00, 1.150976771489132e-01, -5.474711493841945e-02, 2.757929980672349e+00, 1.100025926383154e+00, 1.065193379799799e+00, 1.010656167290255e-01, 4.247746151824118e-01, 2.538400178941913e-08, 2.995714638992508e-07, -1.517470863063308e-07, 7.663703449622972e-08
246, 9.916704787163112e-01, 4.033122247044819e-03, 1.032438259700683e+00, 1.191474164474399e-01, -5.639264404077252e-02, 2.757386767628207e+00, 1.099588648696753e+00, 1.065040585589629e+00, 1.045602663202978e-01, 4.229176520161070e-01, 2.538400178941913e-08, 2.995714638992508e-07, -1.517470863063308e-07, 7.663703449622972e-08
247, 9.909231811413386e-01, 4.386193104823966e-03, 1.032032136411311e+00, 1.229927685051076e-01, -5.794874611188151e-02, 2.756457447605742e+00, 1.099000672323676e+00, 1.064889971493752e+00, 1.078955141946743e-01, 4.204207250028723e-01, 2.428891221484264e-08, 2.767157861738312e-07, -1.388383386313752e-07, 7.555228265232472e-08
248, 9.901588267132787e-01, 4.745849709102378e-03, 1.031572630304531e+00, 1.271182091277273e-01, -5.969160544069609e-02, 2.755403679056752e+00, 1.098337770552597e+00, 1.064721705759444e+00, 1.115051666868032e-01, 4.176056164115705e-01, 2.428891221484264e-08, 2.767157861738312e-07, -1.388383386313752e-07, 7.555228265232472e-08
249, 9.893776921246077e-01, 5.111870136960925e-03, 1.031185617103696e+00, 1.312577995228830e-01, -6.139452172251971e-02, 2.754548707329402e+00, 1.097746909209854e+00, 1.064548313128251e+00, 1.151076930895204e-01, 4.150964379558927e-01, 2.057793602183722e-08, 2.589983347511815e-07, -1.271143832484722e-07, 6.817774966805246e-08
250, 9.885799915472934e-01, 5.484058485262588e-03, 1.030798441211001e+00, 1.351297963012424e-01, -6.289806701612258e-02, 2.753685419970462e+00, 1.097163678605473e+00, 1.064382361033167e+00, 1.184536815606948e-01, 4.126196645382737e-01, 2.057793602183722e-08, 2.589983347511815e-07, -1.271143832484722e-07, 6.817774966805246e-08
251, 9.877659391506075e-01, 5.862222959603331e-03, 1.030424401939967e+00, 1.390522081714160e-01, -6.441999566563159e-02, 2.752864354242146e+00, 1.096587337917854e+00, 1.064209403284047e+00, 1.218444541957142e-01, 4.101721501522583e-01, 1.912314928631531e-08, 2.534491728434229e-07, -1.227612452386895e-07, 6.526880280688374e-08
252, 9.869357100009492e-01, 6.246186767207035e-03, 1.029845305526898e+00, 1.429133638842442e-01, -6.600765464544214e-02, 2.751500615864144e+00, 1.095787632273329e+00, 1.064031293236505e+00, 1.252415129694482e-01, 4.067760840552436e-01, 1.912314928631531e-08, 2.534491728434229e-07, -1.227612452386895e-07, 6.526880280688374e-08
253, 9.860894781273005e-01, 6.635777619155961e-03, 1.029550848309650e+00, 1.470666951855048e-01, -6.755068024615567e-02, 2.750911539287921e+00, 1.095276628603603e+00, 1.063839275546092e+00, 1.288048082040473e-01, 4.046060327994002e-01, 1.602057997374118e-08, 2.383112177595237e-07, -1.132436256018332e-07, 5.946369618925473e-08
254, 9.852274027464225e-01, 7.030827573108217e-03, 1.029108183979901e+00, 1.509328287024688e-01, -6.898663556202468e-02, 2.749918971267578e+00, 1.094615405890080e+00, 1.063654359113968e+00, 1.321465008541532e-01, 4.017980545697308e-01, 1.602057997374118e-08, 2.383112177595237e-07, -1.132436256018332e-07, 5.946369618925473e-08
255, 9.843496114779973e-01, 7.431183368369859e-03, 1.028720666973697e+00, 1.547914729228763e-01, -7.037688785909904e-02, 2.749077042584734e+00, 1.094009600825722e+00, 1.063466143869835e+00, 1.354645200375825e-01, 3.992254154311296e-01, 1.475125954719658e-08, 2.332146736838681e-07, -1.097306306513390e-07, 5.706518813042294e-08
256, 9.834562306574874e-01, 7.836691864070615e-03, 1.028210740796329e+00, 1.586638136107305e-01, -7.182557094284378e-02, 2.747915550949931e+00, 1.093266045019564e+00, 1.063270399386075e+00, 1.388322986016561e-01, 3.960677977729084e-01, 1.475125954719658e-08, 2.332146736838681e-07, -1.097306306513390e-07, 5.706518813042294e-08
257, 9.825473806817397e-01, 8.247202982536929e-03, 1.027755761800829e+00, 1.622793491430327e-01, -7.312154862970215e-02, 2.746890718364523e+00, 1.092591136205857e+00, 1.063084418316881e+00, 1.419593531596746e-01, 3.932016995322627e-01, 1.180965636393694e-08, 2.248452583564209e-07, -1.033473820966080e-07, 5.109690670579425e-08
258, 9.816231571052711e-01, 8.662577440896144e-03, 1.027236280907446e+00, 1.656701673298869e-01, -7.429404736807455e-02, 2.745685405899015e+00, 1.091855734500278e+00, 1.062906124709447e+00, 1.448947623073359e-01, 3.900787094457196e-01, 1.180965636393694e-08, 2.248452583564209e-07, -1.033473820966080e-07, 5.109690670579425e-08
259, 9.806836590462532e-01, 9.082677164980809e-03, 1.026799656004438e+00, 1.694083663983985e-01, -7.554969621765174e-02, 2.744722688770668e+00, 1.091187290792397e+00, 1.062707105920263e+00, 1.481039260080992e-01, 3.872400662153783e-01, 1.022114015647446e-08, 2.240978465850585e-07, -1.019204273755570e-07, 4.734839276210323e-08
260, 9.797289776415393e-01, 9.507366522227435e-03, 1.026309700671595e+00, 1.733124643825861e-01, -7.689538116712918e-02, 2.743632338530720e+00, 1.090447231396886e+00, 1.062493349408391e+00, 1.514762516120801e-01, 3.840972965724748e-01, 1.022114015647446e-08, 2.240978465850585e-07, -1.019204273755570e-07, 4.734839276210323e-08
261, 9.787591972045983e-01, 9.936513821034092e-03, 1.025849620200272e+00, 1.770044751212731e-01, -7.811654677671943e-02, 2.742613334819635e+00, 1.089747426250904e+00, 1.062287692847377e+00, 1.546526053837289e-01, 3.811254724431121e-01, 8.025060838079412e-09, 2.208220676314099e-07, -9.870158025615527e-08, 4.309921575185172e-08
262, 9.777743737968004e-01, 1.036999533196383e-02, 1.025327403852756e+00, 1.803478739404952e-01, -7.916564789165453e-02, 2.741411916287531e+00, 1.088997904399517e+00, 1.062097726353079e+00, 1.575307615233081e-01, 3.779425191078517e-01, 8.025060838079412e-09, 2.208220676314099e-07, -9.870158025615527e-08, 4.309921575185172e-08
263, 9.767745840344637e-01, 1.080768946558915e-02, 1.024810228576310e+00, 1.838034054203247e-01, -8.023379083463501e-02, 2.740233741468135e+00, 1.088244013450911e+00, 1.061898079376828e+00, 1.605012323575213e-01, 3.747410117670782e-01, 6.721390555242124e-09, 2.176758092387043e-07, -9.631849955116234e-08, 4.036236012083805e-08
264, 9.757598935930603e-01, 1.124946666214611e-02, 1.024309697202115e+00, 1.875150467104403e-01, -8.140317633112520e-02, 2.739119409237466e+00, 1.087488440401697e+00, 1.061679337188894e+00, 1.636951191465397e-01, 3.715323611419111e-01, 6.721390555242124e-09, 2.176758092387043e-07, -9.631849955116234e-08, 4.036236012083805e-08
265, 9.747303492884382e-01, 1.169520009558324e-02, 1.023777606077112e+00, 1.911199203388871e-01, -8.250614966287811e-02, 2.737918273295287e+00, 1.086701781565738e+00, 1.061462738699412e+00, 1.667987584542786e-01, 3.681917002112221e-01, 4.851504087355352e-09, 2.155114338375785e-07, -9.399005981847175e-08, 3.664002257153243e-08
266, 9.736860020108735e-01, 1.214478081389776e-02, 1.023280581661682e+00, 1.947542312074996e-01, -8.358084086292099e-02, 2.736815614319290e+00, 1.085947623649372e+00, 1.061241308699445e+00, 1.699142180324600e-01, 3.649890591531020e-01, 4.851504087355352e-09, 2.155114338375785e-07, -9.399005981847175e-08, 3.664002257153243e-08
