"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,       "CD"       ,       "CL"       ,       "CMz"      
          63,     0.05637478109,      -5.425844865,     0.01424975584,      0.9970448808,     0.01075855824
          64,     0.05638560865,      -5.435496686,     0.02008990101,      0.9954779777,    0.007975339692
          65,     0.05638687961,      -5.443611011,     0.02501284294,      0.9920487074,    0.005453390948
          66,     0.05639622355,      -5.448024529,     0.02845501427,      0.9879905973,    0.003696579151
          67,     0.05643941971,      -5.446559414,     0.03013693166,       0.984629045,    0.003086355334
          68,     0.05644432116,      -5.437310497,     0.03009325141,      0.9832039019,    0.003821958553
          69,     0.05646875493,       -5.42359029,     0.02862821871,      0.9846346142,     0.00588091607
          70,     0.05645952163,      -5.412857816,     0.02624258602,      0.9894350469,    0.009042348092
          71,     0.05641812783,      -5.405020598,     0.02351662118,      0.9976113681,     0.01292843227
          72,     0.05643496025,      -5.397159249,     0.02096809744,       1.008530884,     0.01704608279
          73,     0.05643617172,      -5.392260914,     0.01897272736,       1.021082801,     0.02087861485
          74,      0.0564325874,      -5.397749504,     0.01772966973,       1.033961562,     0.02398060631
          75,     0.05645170514,      -5.416189227,     0.01726012408,       1.045930213,     0.02604608911
          76,     0.05643068509,      -5.439708567,      0.0174478594,        1.05608096,     0.02695567993
          77,     0.05645452024,      -5.464749411,     0.01809096448,       1.063944074,      0.0267816442
