"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,       0.795494835,      -4.965974421,      0.1973923947,      0.4215707544,      0.1055462264
           1,       1.077725332,      -5.192181019,      0.1006571319,      0.2637660981,      0.0683363931
           2,      0.9784533067,      -5.425388128,      0.0764013391,      0.2424694157,     0.06279435793
           3,       1.025926584,      -5.373362762,     0.05589478062,      0.2303654752,     0.05757110653
           4,       0.892134502,      -5.320029891,     0.03902065106,      0.2124914232,     0.04827187991
           5,      0.9178222283,      -5.276300376,     0.02862109628,      0.1966514215,     0.03618333039
           6,      0.8997458721,      -5.235392639,     0.02094670918,      0.1807948456,     0.02167020445
           7,      0.9671226048,      -5.200827763,     0.01460541572,      0.1685976071,    0.007587155356
           8,      0.9468925613,      -5.169740902,    0.008320464628,       0.163726521,   -0.003153214052
           9,      0.8967772939,      -5.145917612,    0.001827867125,      0.1655573923,   -0.009418899437
          10,      0.8805015139,       -5.13592253,   -0.004257466145,      0.1694402095,    -0.01203390608
          11,      0.8803757624,      -5.132298971,   -0.009146135926,      0.1703500878,     -0.0126177872
          12,      0.8490074853,      -5.117334007,    -0.01231100362,      0.1666256351,    -0.01228127759
          13,      0.8292499614,      -5.096998577,    -0.01369440371,      0.1607741029,    -0.01122909681
          14,      0.8032607437,       -5.08357781,     -0.0135586251,      0.1573284435,   -0.009170761813
          15,      0.7781905581,      -5.078469686,    -0.01225105445,      0.1600947154,   -0.005840942151
          16,      0.7586587001,      -5.079820237,    -0.01010065223,      0.1705780176,   -0.001300924473
          17,      0.7471175997,       -5.08605684,   -0.007407318504,       0.187322665,    0.003888271281
          18,      0.7693980128,      -5.096639928,    -0.00445652876,      0.2061246879,    0.008750002683
          19,      0.7500958084,       -5.11392114,   -0.001512420021,      0.2216473777,     0.01233734791
          20,      0.7426360909,      -5.140261433,    0.001219020425,      0.2297548456,     0.01414676654
          21,        0.71978164,      -5.172997804,    0.003623655272,      0.2291959587,      0.0141607217
          22,      0.7240154337,      -5.205983061,    0.005675166387,      0.2219799014,     0.01269371216
          23,      0.7229075877,      -5.236476074,    0.007397489606,       0.212502694,      0.0103130028
          24,      0.7194683094,      -5.267119223,    0.008817503019,      0.2057300436,    0.007782483391
          25,      0.7175830979,       -5.29968006,    0.009920621495,       0.205178805,    0.005896031032
          26,      0.7091710108,      -5.330615106,     0.01062516367,      0.2116620742,    0.005228974765
          27,       0.697870197,      -5.355687049,     0.01079713947,      0.2233136735,    0.005917793301
          28,      0.6976829393,      -5.376973475,     0.01031502464,      0.2367261374,    0.007585035125
          29,      0.6924689835,       -5.40100376,    0.009161045524,      0.2484955834,    0.009475498982
          30,      0.6957081219,      -5.431535976,    0.007482358144,       0.256418288,     0.01076213427
          31,      0.7028446642,      -5.466450013,    0.005574664049,      0.2599328116,     0.01087255354
          32,      0.6890108022,       -5.49986284,    0.003786742339,      0.2598232723,    0.009673214632
          33,      0.6764405841,      -5.527058132,    0.002392689107,      0.2574905944,    0.007444475776
          34,      0.6737036139,      -5.548703444,    0.001498872001,      0.2542025978,    0.004700144667
          35,      0.6699791475,      -5.570170318,    0.001032493397,      0.2506454039,    0.001963211012
          36,      0.6662534312,      -5.596645971,   0.0008127980237,      0.2468922992,   -0.000401999073
          37,      0.6576007493,      -5.628921323,   0.0006581691661,      0.2426822338,   -0.002252642004
          38,      0.6610185334,      -5.662712768,   0.0004698218115,      0.2377820799,   -0.003631520742
          39,      0.6563917071,      -5.691643734,   0.0002564955424,      0.2322469301,   -0.004669940124
          40,      0.6514725215,      -5.712054171,   9.991805981e-05,      0.2264937935,   -0.005481359689
          41,      0.6468565699,      -5.725240251,   8.938224764e-05,      0.2212015772,   -0.006092701636
          42,      0.6424063084,      -5.735269037,   0.0002631148018,       0.217118637,   -0.006434116999
          43,      0.6420776487,      -5.745864627,   0.0005837112104,      0.2148763082,   -0.006377734711
          44,      0.6438674067,      -5.758965819,    0.000953668102,       0.214868106,   -0.005800315827
          45,      0.6446341159,      -5.774430263,    0.001256631387,       0.217196576,   -0.004645306585
          46,      0.6487631666,      -5.790281494,    0.001400958407,      0.2216607518,    -0.00296593049
          47,      0.6450760907,      -5.803789804,    0.001345796086,      0.2277712565,  -0.0009364703759
